Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Pruned-global Aggregated,Whole Aggregated
88,0.4585,0.4878,0.4655,0.4898,0.4962,0.4463,0.4484,0.456,0.454,0.4563,0.5373,0.542
89,0.467,0.4871,0.4541,0.4614,0.4705,0.4085,0.459,0.4668,0.4472,0.4626,0.5259,0.5322
90,0.4896,0.5075,0.4481,0.4786,0.4658,0.4452,0.464,0.4632,0.459,0.437,0.5435,0.5448
91,0.4326,0.4737,0.4336,0.4547,0.4756,0.4429,0.4512,0.4798,0.4496,0.4466,0.5259,0.5294
92,0.4696,0.486,0.4505,0.4706,0.4816,0.4415,0.4387,0.4842,0.4701,0.4401,0.5398,0.544
93,0.4392,0.4655,0.4632,0.4899,0.4754,0.4145,0.4688,0.4687,0.4461,0.4646,0.51,0.5163
94,0.4604,0.4699,0.4536,0.4796,0.4651,0.4362,0.4664,0.4581,0.4676,0.4488,0.5165,0.5192
95,0.4522,0.5052,0.4584,0.4789,0.4782,0.4468,0.4667,0.4762,0.477,0.4472,0.5215,0.5264
96,0.4777,0.5043,0.4549,0.4341,0.4769,0.4548,0.4548,0.4716,0.4689,0.4256,0.5315,0.5375
97,0.4692,0.4891,0.4529,0.4734,0.4728,0.4461,0.4412,0.4772,0.4445,0.4615,0.5278,0.532
98,0.4805,0.4666,0.4588,0.4781,0.4828,0.4436,0.4579,0.4584,0.4763,0.4601,0.5419,0.5468
99,0.4442,0.4941,0.4424,0.4753,0.4791,0.4538,0.4466,0.4781,0.4576,0.4387,0.5358,0.5378
100,0.4868,0.458,0.4464,0.4651,0.4819,0.4502,0.4466,0.4615,0.4357,0.4646,0.5283,0.5346
