Round,Subset,0,1,2,3,4,5,6,7,8,9
7,Aggregated,0.215,0.002,0.021,0.077,0.102,0.073,0.281,0.176,0.673,0.858
8,1,0.9992000000000001,0.0,0.0,0.0,0.0002,0.0045,0.0388,0.0006000000000000001,0.0,0.0001
8,2,0.0117,0.9997,0.0095,0.0018000000000000002,0.0319,0.0068000000000000005,0.0026000000000000003,0.011899999999999999,0.007000000000000001,0.0
8,3,0.0012000000000000001,0.0031,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0.010100000000000001,0.0094
8,4,0.07189999999999999,0.015,0.0,0.9994999999999999,0.0,0.0,0.0,0.0,0.1133,0.0237
8,5,0.0023,0.0075000000000000015,0.0,0.0,0.9995999999999998,0.0,0.0,0.0,0.0284,0.0096
8,6,0.0872,0.0374,0.0,0.0,0.0,0.998,0.0,0.0,0.11850000000000001,0.05750000000000001
8,7,0.281,0.11539999999999999,0.0,0.0,0.0,0.006,0.9977,0.0045,0.225,0.0753
8,8,0.053000000000000005,0.03880000000000001,0.0,0.0,0.0,0.0,0.0,0.9949,0.24610000000000004,0.0086
8,9,0.0,0.0,0.008,0.015,0.313,0.019,0.114,0.057,1.0,0.0
8,10,0.275,0.0,0.054,0.0,0.11,0.128,0.164,0.013,0.002,0.998
8,Aggregated,0.235,0.006,0.016,0.043,0.137,0.111,0.378,0.146,0.796,0.766
9,1,0.9997,0.0,0.0,0.0001,0.0,0.0137,0.0241,0.0022,0.0,0.0001
9,2,0.0149,0.9996,0.0177,0.0024000000000000002,0.039900000000000005,0.013800000000000002,0.0054,0.0161,0.0091,0.0
9,3,0.0091,0.0118,0.9994999999999999,0.0,0.0,0.0,0.0,0.0,0.0241,0.0208
9,4,0.11340000000000001,0.032799999999999996,0.0,0.9984,0.0,0.0,0.0,0.0,0.1568,0.0436
9,5,0.004200000000000001,0.031900000000000005,0.0,0.0,0.9992999999999999,0.0,0.0,0.0,0.0443,0.039
9,6,0.0958,0.0797,0.0,0.0,0.0,0.9984999999999999,0.0,0.0,0.1937,0.0655
9,7,0.3074,0.14020000000000002,0.0001,0.0002,0.0,0.009,0.9963000000000001,0.0055,0.31829999999999997,0.11500000000000002
9,8,0.04630000000000001,0.0197,0.0,0.0,0.0,0.0,0.0,0.9981,0.16870000000000002,0.017900000000000003
9,9,0.0,0.0,0.001,0.066,0.054,0.031,0.465,0.125,0.998,0.0
9,10,0.236,0.0,0.021,0.0,0.245,0.169,0.0,0.086,0.014,1.0
9,Aggregated,0.186,0.02,0.012,0.08,0.17,0.189,0.389,0.236,0.754,0.846
10,1,0.9996,0.0010999999999999998,0.0,0.0005,0.0004,0.0177,0.049,0.0009000000000000001,0.0,0.0002
10,2,0.0253,0.9988999999999999,0.055400000000000005,0.0029000000000000002,0.065,0.035300000000000005,0.0164,0.0247,0.005200000000000001,0.0
10,3,0.0154,0.031100000000000006,0.9987,0.0,0.0,0.0,0.0,0.0,0.0239,0.0369
10,4,0.0978,0.0367,0.0,0.9994,0.0,0.0,0.0,0.0,0.1244,0.028600000000000004
10,5,0.0023,0.040100000000000004,0.0,0.0,0.9995,0.0,0.0,0.0,0.0531,0.047299999999999995
10,6,0.0708,0.0505,0.0,0.0,0.0,0.9979000000000001,0.0,0.0,0.18350000000000002,0.13169999999999998
10,7,0.3101,0.13299999999999998,0.0,0.0002,0.0,0.007800000000000001,0.9978999999999999,0.005200000000000001,0.2808,0.0902
10,8,0.0631,0.049,0.0,0.0,0.0,0.0,0.0,0.9959999999999999,0.1874,0.028000000000000004
10,9,0.0,0.0,0.12,0.103,0.022,0.218,0.48,0.248,0.991,0.0
10,10,0.245,0.0,0.015,0.095,0.328,0.16,0.03,0.15,0.019,0.998
10,Aggregated,0.148,0.018,0.019,0.103,0.201,0.272,0.465,0.304,0.797,0.826
