Round,Subset,0,1,2,3,4,5,6,7,8,9
10,8,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.057,0.0
10,9,0.002,0.014,0.197,0.151,0.035,0.058,0.18,0.227,1.0,0.0
10,10,0.278,0.0,0.101,0.037,0.284,0.141,0.05,0.086,0.123,0.996
10,Aggregated,0.173,0.055,0.353,0.165,0.234,0.188,0.335,0.34,0.887,0.656
11,1,1.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
11,2,0.0,1.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
11,3,0.003,0.004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
11,4,0.07,0.016,0.0,1.0,0.0,0.0,0.0,0.0,0.111,0.0
11,5,0.041,0.11,0.0,0.0,0.998,0.001,0.0,0.0,0.002,0.063
11,6,0.0,0.011,0.0,0.0,0.0,1.0,0.0,0.0,0.006,0.01
11,7,0.042,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,8,0.028,0.068,0.0,0.0,0.0,0.0,0.0,0.998,0.066,0.002
11,9,0.0,0.003,0.259,0.105,0.104,0.108,0.264,0.397,0.998,0.012
11,10,0.259,0.0,0.018,0.072,0.267,0.111,0.065,0.108,0.014,1.0
11,Aggregated,0.2,0.043,0.124,0.202,0.379,0.215,0.374,0.426,0.741,0.867
12,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2,0.012,1.0,0.008,0.029,0.036,0.013,0.017,0.024,0.002,0.0
12,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
12,4,0.015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001
12,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.002
12,6,0.136,0.18,0.0,0.0,0.0,0.991,0.0,0.0,0.131,0.14
12,7,0.148,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.201,0.107
12,8,0.154,0.003,0.0,0.0,0.0,0.0,0.0,0.998,0.161,0.0
12,9,0.009,0.02,0.131,0.171,0.274,0.184,0.415,0.249,0.993,0.014
12,10,0.283,0.0,0.246,0.035,0.349,0.233,0.109,0.186,0.26,0.991
12,Aggregated,0.193,0.025,0.261,0.144,0.348,0.306,0.456,0.34,0.889,0.712
13,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,0.002,0.997,0.024,0.023,0.024,0.037,0.052,0.004,0.0,0.0
13,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4,0.014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012,0.009
13,5,0.005,0.009,0.0,0.0,1.0,0.0,0.0,0.0,0.009,0.03
13,6,0.045,0.039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,7,0.466,0.008,0.0,0.0,0.002,0.007,0.996,0.0,0.092,0.082
13,8,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.014,0.005
13,9,0.053,0.06,0.076,0.117,0.208,0.125,0.34,0.422,0.997,0.024
13,10,0.22,0.0,0.079,0.095,0.323,0.337,0.187,0.079,0.033,0.997
13,Aggregated,0.256,0.017,0.171,0.17,0.392,0.292,0.484,0.4,0.796,0.832
14,1,1.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
14,2,0.002,1.0,0.132,0.034,0.09,0.009,0.007,0.0,0.001,0.0
14,3,0.002,0.001,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4,0.011,0.018,0.0,1.0,0.0,0.0,0.0,0.0,0.038,0.0
14,5,0.0,0.012,0.0,0.0,1.0,0.0,0.0,0.0,0.002,0.0
14,6,0.036,0.007,0.0,0.0,0.0,1.0,0.0,0.0,0.161,0.028
14,7,0.09,0.047,0.004,0.0,0.0,0.0,0.999,0.001,0.107,0.007
14,8,0.086,0.0,0.007,0.0,0.0,0.0,0.002,1.0,0.038,0.001
14,9,0.003,0.048,0.231,0.091,0.073,0.117,0.349,0.324,0.998,0.038
14,10,0.26,0.0,0.135,0.097,0.236,0.266,0.399,0.09,0.186,0.988
14,Aggregated,0.199,0.056,0.318,0.114,0.197,0.301,0.585,0.407,0.853,0.798
15,1,0.998,0.0,0.024,0.0,0.065,0.019,0.011,0.0,0.0,0.0
15,2,0.002,0.998,0.046,0.025,0.084,0.039,0.0,0.024,0.0,0.0
15,3,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.04,0.012
15,4,0.006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.023,0.01
15,5,0.045,0.001,0.0,0.0,1.0,0.02,0.0,0.0,0.021,0.068
15,6,0.169,0.019,0.0,0.0,0.0,0.996,0.0,0.0,0.18,0.051
15,7,0.013,0.0,0.0,0.0,0.0,0.0,1.0,0.012,0.0,0.0
15,8,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008,0.0
15,9,0.016,0.138,0.121,0.258,0.152,0.246,0.271,0.49,0.991,0.073
15,10,0.23,0.0,0.189,0.091,0.218,0.227,0.252,0.179,0.129,1.0
15,Aggregated,0.233,0.112,0.187,0.271,0.221,0.325,0.48,0.502,0.781,0.862
16,1,0.997,0.002,0.001,0.0,0.001,0.0,0.027,0.005,0.0,0.0
16,2,0.0,0.996,0.189,0.001,0.147,0.0,0.0,0.008,0.002,0.0
16,3,0.047,0.021,0.998,0.0,0.0,0.0,0.0,0.0,0.124,0.018
16,4,0.199,0.111,0.0,0.997,0.0,0.0,0.0,0.0,0.149,0.105
16,5,0.033,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001,0.0
16,6,0.204,0.071,0.0,0.0,0.001,0.997,0.0,0.031,0.039,0.243
16,7,0.284,0.066,0.0,0.003,0.0,0.007,0.999,0.001,0.285,0.045
16,8,0.12,0.001,0.002,0.0,0.001,0.0,0.0,0.995,0.092,0.001
16,9,0.027,0.164,0.047,0.192,0.267,0.187,0.229,0.314,0.997,0.046
16,10,0.283,0.0,0.359,0.273,0.212,0.172,0.218,0.286,0.115,0.988
16,Aggregated,0.259,0.142,0.232,0.324,0.342,0.283,0.398,0.422,0.849,0.803
17,1,0.968,0.003,0.072,0.004,0.009,0.03,0.0,0.007,0.022,0.05
17,2,0.001,0.996,0.107,0.001,0.035,0.001,0.001,0.0,0.0,0.0
17,3,0.003,0.027,1.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0
17,4,0.013,0.0,0.002,0.996,0.004,0.0,0.0,0.001,0.024,0.001
17,5,0.052,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.097,0.01
17,6,0.01,0.017,0.0,0.0,0.0,0.998,0.0,0.0,0.113,0.053
17,7,0.102,0.031,0.006,0.0,0.0,0.012,0.996,0.009,0.102,0.088
17,8,0.022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,9,0.051,0.059,0.166,0.263,0.108,0.252,0.528,0.385,0.993,0.054
17,10,0.368,0.0,0.167,0.145,0.305,0.171,0.373,0.38,0.305,0.971
17,Aggregated,0.317,0.108,0.202,0.235,0.303,0.304,0.596,0.521,0.851,0.782
18,1,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2,0.0,1.0,0.011,0.0,0.0,0.0,0.0,0.001,0.0,0.0
18,3,0.0,0.015,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.003
18,4,0.048,0.007,0.001,0.993,0.0,0.0,0.0,0.0,0.22,0.0
18,5,0.003,0.069,0.0,0.002,0.999,0.005,0.0,0.013,0.0,0.01
18,6,0.052,0.076,0.0,0.0,0.0,0.999,0.0,0.0,0.068,0.042
18,7,0.26,0.023,0.001,0.002,0.0,0.008,0.996,0.004,0.197,0.033
18,8,0.002,0.0,0.0,0.002,0.0,0.0,0.0,0.999,0.03,0.0
18,9,0.031,0.102,0.38,0.201,0.031,0.269,0.321,0.384,0.992,0.081
18,10,0.293,0.003,0.189,0.096,0.351,0.363,0.247,0.301,0.271,0.988
18,Aggregated,0.242,0.126,0.369,0.173,0.237,0.406,0.486,0.533,0.841,0.812
19,1,0.992,0.016,0.136,0.025,0.038,0.064,0.015,0.008,0.01,0.003
19,2,0.0,1.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
19,3,0.061,0.148,0.994,0.0,0.0,0.0,0.001,0.008,0.081,0.04
19,4,0.02,0.044,0.001,0.997,0.0,0.0,0.0,0.0,0.073,0.037
19,5,0.09,0.08,0.0,0.0,0.996,0.0,0.0,0.0,0.036,0.006
19,6,0.112,0.029,0.0,0.0,0.0,0.993,0.0,0.0,0.271,0.049
19,7,0.273,0.07,0.0,0.0,0.0,0.0,0.998,0.001,0.157,0.088
19,8,0.12,0.007,0.0,0.0,0.0,0.0,0.0,0.997,0.111,0.002
19,9,0.062,0.156,0.124,0.132,0.092,0.227,0.575,0.318,0.994,0.073
19,10,0.334,0.001,0.324,0.144,0.284,0.312,0.322,0.211,0.204,0.982
19,Aggregated,0.311,0.151,0.24,0.142,0.303,0.404,0.608,0.416,0.837,0.839
20,1,0.987,0.004,0.0,0.022,0.001,0.0,0.064,0.037,0.0,0.004
20,2,0.001,0.997,0.002,0.008,0.015,0.024,0.003,0.001,0.002,0.0
20,3,0.0,0.007,1.0,0.001,0.0,0.0,0.0,0.001,0.0,0.002
20,4,0.018,0.073,0.0,0.988,0.002,0.0,0.003,0.007,0.034,0.056
20,5,0.002,0.009,0.0,0.0,0.999,0.001,0.0,0.0,0.025,0.002
20,6,0.092,0.09,0.0,0.0,0.0,0.999,0.0,0.0,0.245,0.003
20,7,0.007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,8,0.061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.039,0.001
20,9,0.077,0.153,0.127,0.207,0.372,0.24,0.285,0.413,0.988,0.23
20,10,0.313,0.01,0.259,0.136,0.268,0.332,0.301,0.342,0.238,0.987
20,Aggregated,0.32,0.187,0.209,0.243,0.386,0.404,0.474,0.467,0.825,0.839
21,1,0.998,0.001,0.012,0.025,0.017,0.059,0.004,0.0,0.0,0.0
21,2,0.003,1.0,0.003,0.001,0.01,0.003,0.0,0.0,0.0,0.0
21,3,0.004,0.013,0.998,0.0,0.0,0.0,0.0,0.0,0.001,0.013
21,4,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.001
21,5,0.046,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.002,0.0
21,6,0.117,0.051,0.005,0.0,0.001,0.992,0.008,0.004,0.16,0.007
21,7,0.276,0.105,0.0,0.001,0.0,0.0,0.999,0.0,0.154,0.005
