Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
27,0.748,0.87,0.281,0.348,0.463,0.376,0.643,0.7,0.605,0.442
28,0.695,0.867,0.388,0.341,0.509,0.455,0.701,0.631,0.544,0.482
29,0.723,0.819,0.412,0.456,0.488,0.432,0.652,0.573,0.586,0.555
30,0.733,0.886,0.399,0.34,0.487,0.36,0.736,0.582,0.548,0.519
31,0.746,0.862,0.397,0.413,0.562,0.492,0.633,0.572,0.558,0.531
32,0.711,0.891,0.41,0.486,0.502,0.384,0.653,0.611,0.57,0.526
33,0.678,0.875,0.465,0.304,0.523,0.442,0.705,0.573,0.722,0.444
34,0.763,0.822,0.392,0.399,0.595,0.276,0.764,0.499,0.61,0.566
35,0.766,0.848,0.503,0.402,0.564,0.351,0.663,0.58,0.638,0.547
36,0.79,0.85,0.535,0.324,0.533,0.504,0.618,0.59,0.587,0.542
37,0.725,0.851,0.52,0.413,0.479,0.333,0.759,0.606,0.67,0.542
38,0.76,0.896,0.409,0.3,0.571,0.527,0.648,0.658,0.666,0.457
39,0.766,0.886,0.491,0.409,0.564,0.38,0.669,0.608,0.635,0.534
40,0.723,0.891,0.491,0.358,0.56,0.49,0.661,0.685,0.6,0.5
41,0.733,0.849,0.479,0.351,0.546,0.362,0.778,0.658,0.647,0.581
42,0.804,0.846,0.47,0.4,0.584,0.492,0.682,0.607,0.539,0.611
43,0.769,0.879,0.581,0.408,0.568,0.368,0.624,0.573,0.636,0.521
44,0.724,0.828,0.432,0.454,0.571,0.475,0.69,0.664,0.698,0.602
45,0.79,0.842,0.458,0.372,0.581,0.481,0.732,0.631,0.591,0.599
46,0.711,0.893,0.418,0.442,0.562,0.563,0.586,0.678,0.61,0.58
47,0.769,0.876,0.502,0.39,0.569,0.4,0.618,0.608,0.738,0.508
48,0.738,0.904,0.428,0.41,0.63,0.523,0.542,0.69,0.648,0.54
49,0.741,0.852,0.463,0.493,0.595,0.428,0.701,0.617,0.66,0.615
50,0.805,0.881,0.497,0.47,0.581,0.455,0.588,0.605,0.638,0.52
51,0.781,0.878,0.395,0.48,0.653,0.483,0.634,0.636,0.659,0.582
52,0.775,0.882,0.47,0.432,0.509,0.486,0.691,0.648,0.706,0.585
53,0.757,0.826,0.394,0.417,0.616,0.558,0.697,0.653,0.65,0.685
54,0.794,0.872,0.539,0.377,0.572,0.557,0.66,0.652,0.646,0.511
55,0.759,0.876,0.451,0.488,0.577,0.454,0.752,0.532,0.713,0.534
56,0.786,0.915,0.488,0.362,0.615,0.473,0.608,0.673,0.644,0.508
57,0.793,0.861,0.567,0.394,0.507,0.512,0.669,0.601,0.705,0.609
58,0.712,0.911,0.498,0.392,0.61,0.482,0.783,0.604,0.686,0.579
59,0.777,0.851,0.497,0.445,0.552,0.495,0.741,0.599,0.679,0.654
60,0.789,0.862,0.499,0.442,0.586,0.451,0.741,0.662,0.695,0.601
61,0.764,0.86,0.471,0.385,0.627,0.598,0.715,0.64,0.637,0.589
62,0.813,0.851,0.506,0.443,0.624,0.41,0.648,0.685,0.639,0.616
63,0.789,0.876,0.636,0.372,0.536,0.397,0.689,0.602,0.697,0.623
64,0.785,0.899,0.488,0.496,0.529,0.432,0.666,0.703,0.61,0.599
65,0.787,0.884,0.513,0.466,0.584,0.543,0.702,0.636,0.617,0.553
66,0.765,0.802,0.498,0.361,0.646,0.485,0.736,0.702,0.659,0.66
67,0.8,0.872,0.507,0.479,0.541,0.512,0.744,0.615,0.656,0.596
68,0.788,0.867,0.401,0.396,0.613,0.344,0.84,0.655,0.723,0.576
69,0.812,0.871,0.542,0.463,0.542,0.477,0.686,0.61,0.701,0.648
70,0.739,0.876,0.435,0.515,0.623,0.588,0.577,0.659,0.648,0.64
71,0.766,0.892,0.498,0.44,0.608,0.486,0.704,0.624,0.731,0.608
72,0.796,0.877,0.646,0.396,0.55,0.431,0.733,0.575,0.698,0.619
73,0.806,0.891,0.415,0.461,0.641,0.528,0.634,0.637,0.721,0.585
74,0.806,0.888,0.591,0.405,0.58,0.442,0.763,0.57,0.646,0.615
75,0.807,0.893,0.591,0.352,0.604,0.402,0.734,0.583,0.692,0.588
76,0.798,0.908,0.483,0.434,0.545,0.444,0.794,0.651,0.665,0.609
77,0.781,0.881,0.502,0.412,0.596,0.462,0.699,0.632,0.609,0.7
78,0.832,0.872,0.561,0.425,0.565,0.455,0.623,0.649,0.696,0.577
79,0.779,0.858,0.546,0.489,0.608,0.553,0.676,0.613,0.693,0.603
80,0.797,0.897,0.551,0.454,0.487,0.552,0.694,0.657,0.64,0.625
81,0.712,0.855,0.523,0.409,0.653,0.528,0.785,0.65,0.666,0.653
82,0.793,0.91,0.475,0.452,0.599,0.468,0.678,0.607,0.695,0.635
83,0.823,0.883,0.487,0.45,0.56,0.523,0.695,0.607,0.705,0.683
84,0.811,0.925,0.613,0.389,0.556,0.475,0.642,0.655,0.679,0.516
85,0.817,0.869,0.597,0.379,0.577,0.437,0.755,0.674,0.688,0.621
86,0.808,0.867,0.557,0.478,0.586,0.529,0.728,0.61,0.68,0.687
87,0.781,0.866,0.467,0.47,0.64,0.526,0.759,0.657,0.659,0.614
88,0.774,0.901,0.602,0.415,0.579,0.477,0.732,0.618,0.69,0.603
89,0.795,0.856,0.557,0.397,0.661,0.445,0.751,0.603,0.771,0.562
90,0.846,0.898,0.484,0.372,0.677,0.533,0.695,0.608,0.711,0.488
91,0.827,0.883,0.594,0.395,0.56,0.483,0.782,0.586,0.656,0.594
92,0.791,0.872,0.494,0.442,0.656,0.586,0.714,0.606,0.707,0.636
93,0.841,0.867,0.427,0.504,0.554,0.552,0.67,0.622,0.709,0.643
94,0.797,0.848,0.519,0.523,0.712,0.45,0.62,0.647,0.647,0.606
95,0.765,0.873,0.54,0.46,0.628,0.501,0.745,0.627,0.749,0.605
96,0.81,0.89,0.632,0.272,0.552,0.428,0.771,0.607,0.719,0.647
97,0.812,0.886,0.5,0.468,0.64,0.457,0.704,0.661,0.741,0.579
98,0.799,0.865,0.467,0.454,0.642,0.574,0.675,0.703,0.605,0.658
99,0.813,0.89,0.55,0.417,0.617,0.517,0.737,0.611,0.708,0.613
100,0.82,0.901,0.548,0.415,0.6,0.442,0.742,0.66,0.677,0.618
