Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
81,0.638,0.743,0.438,0.415,0.518,0.536,0.749,0.687,0.744,0.703
82,0.673,0.754,0.461,0.396,0.535,0.532,0.672,0.691,0.749,0.694
83,0.658,0.769,0.463,0.396,0.526,0.54,0.751,0.701,0.727,0.664
84,0.651,0.771,0.464,0.394,0.5,0.554,0.728,0.702,0.75,0.664
85,0.685,0.745,0.466,0.405,0.512,0.536,0.738,0.685,0.735,0.67
86,0.666,0.751,0.443,0.412,0.513,0.563,0.721,0.695,0.748,0.671
87,0.663,0.769,0.424,0.421,0.539,0.543,0.729,0.698,0.751,0.662
88,0.662,0.764,0.459,0.41,0.543,0.514,0.727,0.692,0.74,0.669
89,0.647,0.765,0.453,0.416,0.517,0.539,0.728,0.696,0.745,0.676
90,0.668,0.756,0.452,0.417,0.526,0.542,0.696,0.69,0.738,0.695
91,0.665,0.781,0.478,0.421,0.523,0.517,0.718,0.689,0.728,0.682
92,0.668,0.729,0.458,0.406,0.525,0.562,0.697,0.693,0.744,0.712
93,0.652,0.753,0.458,0.396,0.52,0.533,0.735,0.689,0.729,0.697
94,0.658,0.778,0.465,0.404,0.508,0.517,0.703,0.698,0.739,0.673
95,0.659,0.748,0.463,0.417,0.533,0.519,0.687,0.694,0.751,0.701
96,0.65,0.782,0.461,0.408,0.545,0.538,0.713,0.668,0.753,0.672
97,0.668,0.758,0.464,0.385,0.528,0.537,0.716,0.675,0.73,0.694
98,0.657,0.787,0.443,0.401,0.516,0.55,0.692,0.703,0.734,0.669
99,0.659,0.767,0.479,0.425,0.494,0.54,0.713,0.666,0.72,0.684
100,0.664,0.747,0.448,0.428,0.538,0.53,0.707,0.678,0.74,0.684
