Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
90,0.6131,0.5596,0.5382,0.3624,0.6434,0.7026,0.4184,0.6092,0.6859,0.3602
91,0.5927,0.5583,0.5185,0.3716,0.6149,0.7030,0.4454,0.6047,0.7045,0.3549
92,0.6059,0.5660,0.5207,0.3698,0.6447,0.6842,0.4483,0.6177,0.7285,0.3741
93,0.5999,0.5708,0.5090,0.3455,0.6156,0.6598,0.4292,0.6159,0.6818,0.3302
94,0.5948,0.5524,0.5184,0.3992,0.6305,0.6726,0.4386,0.7103,0.7677,0.3271
95,0.5841,0.5731,0.5325,0.3622,0.6102,0.7124,0.4663,0.6537,0.6484,0.3335
96,0.6070,0.5947,0.5327,0.3574,0.6377,0.6912,0.4359,0.6644,0.6945,0.3406
97,0.5973,0.5765,0.5212,0.3863,0.6276,0.6681,0.4168,0.6607,0.6734,0.3427
98,0.6016,0.5641,0.5236,0.3393,0.6370,0.6867,0.4348,0.6137,0.6512,0.3454
99,0.5573,0.5423,0.5410,0.3562,0.6290,0.7159,0.4163,0.6507,0.7399,0.3605
100,0.5750,0.5734,0.5331,0.4732,0.6082,0.7007,0.4418,0.7209,0.6775,0.4076
101,0.6077,0.5825,0.5158,0.3690,0.6104,0.6600,0.4401,0.6041,0.6973,0.3618
102,0.5680,0.5827,0.5105,0.3449,0.6210,0.6727,0.4560,0.6484,0.6287,0.3348
103,0.5740,0.5909,0.4933,0.3559,0.6151,0.6817,0.4665,0.6935,0.6947,0.3283
104,0.6552,0.5496,0.5022,0.3919,0.6174,0.7086,0.4246,0.8417,0.6821,0.3362
105,0.5800,0.5790,0.5413,0.3661,0.6109,0.6855,0.4419,0.6437,0.6694,0.3571
106,0.5825,0.5664,0.5075,0.3786,0.6161,0.6922,0.4488,0.6554,0.7243,0.3372
107,0.5951,0.5452,0.5226,0.3382,0.6039,0.6949,0.4323,0.8143,0.6819,0.3228
108,0.5681,0.5328,0.5126,0.3754,0.6306,0.6676,0.4349,0.6630,0.6812,0.3330
109,0.5685,0.5835,0.5074,0.3621,0.5960,0.7154,0.4310,0.6008,0.6860,0.3271
110,0.5738,0.5488,0.5319,0.3577,0.6000,0.6865,0.4231,0.6234,0.6931,0.3373
111,0.5802,0.5467,0.5036,0.3564,0.6115,0.6951,0.4512,0.6104,0.6768,0.3532
112,0.6127,0.6007,0.5054,0.3524,0.6278,0.6995,0.4280,0.6380,0.6971,0.3485
113,0.6041,0.5983,0.5133,0.3614,0.6417,0.7081,0.4376,0.7170,0.6764,0.3701
114,0.5730,0.5352,0.5220,0.3497,0.5826,0.6882,0.4398,0.6497,0.6830,0.3180
115,0.5634,0.5806,0.4849,0.3385,0.5933,0.6541,0.4147,0.5950,0.6718,0.3270
116,0.5630,0.5139,0.5677,0.3551,0.6221,0.6947,0.4400,0.6768,0.6943,0.3208
117,0.6023,0.5176,0.4860,0.3413,0.6284,0.7170,0.4491,0.6349,0.6714,0.3257
118,0.5695,0.5289,0.5491,0.3622,0.6080,0.6730,0.4104,0.6534,0.6609,0.3420
119,0.5817,0.5523,0.5140,0.3689,0.5958,0.6854,0.4444,0.6252,0.6436,0.3345
120,0.6001,0.5585,0.5437,0.3650,0.6159,0.7018,0.4235,0.6295,0.6800,0.3318
121,0.5670,0.5299,0.4952,0.3315,0.6399,0.6983,0.4404,0.6644,0.6734,0.3150
122,0.5894,0.5655,0.5093,0.3670,0.6152,0.6843,0.4199,0.6065,0.6662,0.3579
123,0.6100,0.5703,0.5104,0.3288,0.6084,0.6974,0.4199,0.6941,0.7337,0.3627
124,0.5890,0.5793,0.5028,0.3401,0.6277,0.6912,0.4539,0.7377,0.6903,0.3507
125,0.5948,0.5702,0.4742,0.3791,0.5989,0.6725,0.4108,0.7052,0.7103,0.3440
126,0.5805,0.5569,0.4842,0.3413,0.5823,0.6685,0.4465,0.6335,0.7227,0.3392
127,0.5488,0.5477,0.4954,0.4161,0.6329,0.6424,0.4180,0.6468,0.6479,0.3248
128,0.5871,0.5371,0.5043,0.3745,0.6013,0.7224,0.4551,0.6714,0.6473,0.3678
129,0.6148,0.5427,0.5193,0.3347,0.6173,0.6739,0.4035,0.6670,0.6788,0.3588
130,0.5563,0.5509,0.5523,0.3824,0.6109,0.6745,0.4296,0.6699,0.6742,0.3392
131,0.5785,0.5783,0.4755,0.3724,0.6124,0.6959,0.4312,0.6814,0.7280,0.3130
132,0.5198,0.5275,0.5256,0.3405,0.6556,0.7042,0.4230,0.6332,0.6434,0.3865
133,0.5508,0.5582,0.4949,0.3751,0.6176,0.6627,0.4282,0.6369,0.6711,0.3628
134,0.5921,0.5260,0.5441,0.3433,0.6535,0.6748,0.4350,0.6198,0.7355,0.3241
135,0.5534,0.5661,0.5005,0.3430,0.5974,0.6373,0.4266,0.6383,0.6324,0.3316
136,0.5491,0.5440,0.4872,0.3588,0.5706,0.6688,0.4199,0.6062,0.6993,0.3314
137,0.5693,0.5683,0.5027,0.3539,0.6465,0.7074,0.4422,0.6080,0.6949,0.3557
138,0.5679,0.5550,0.5128,0.3431,0.6081,0.6838,0.4438,0.6312,0.6537,0.3277
139,0.5714,0.5413,0.4758,0.3691,0.5906,0.6931,0.4464,0.6268,0.6921,0.3843
140,0.5699,0.5430,0.4895,0.3531,0.6363,0.6734,0.4661,0.6328,0.6549,0.3415
141,0.5447,0.5979,0.4860,0.3630,0.6213,0.6552,0.4154,0.6515,0.6949,0.3071
142,0.5468,0.5813,0.5073,0.3352,0.6179,0.6877,0.4234,0.6626,0.6723,0.3307
143,0.5623,0.5170,0.4928,0.3639,0.6199,0.7216,0.4103,0.6179,0.6676,0.3291
144,0.5894,0.5489,0.4998,0.3312,0.5957,0.6931,0.4268,0.6671,0.6377,0.3197
145,0.5668,0.5381,0.4982,0.3590,0.6254,0.7222,0.4126,0.6207,0.6571,0.3224
146,0.5471,0.5710,0.4853,0.3410,0.5625,0.6983,0.4204,0.6632,0.6676,0.3244
147,0.5437,0.5838,0.4804,0.3651,0.6093,0.6758,0.4058,0.6203,0.6714,0.3544
148,0.5758,0.5340,0.4767,0.3548,0.6160,0.7078,0.4174,0.6790,0.6916,0.3489
149,0.5223,0.5474,0.4865,0.3702,0.6131,0.6837,0.4619,0.6485,0.6843,0.3415
150,0.5572,0.5424,0.4736,0.3483,0.6154,0.6644,0.4305,0.6349,0.7387,0.3494
151,0.5495,0.5522,0.4954,0.4146,0.5852,0.6717,0.4395,0.6297,0.6880,0.3384
152,0.5588,0.5349,0.4906,0.3478,0.6145,0.6904,0.4189,0.6855,0.6864,0.3387
153,0.5699,0.5304,0.4897,0.3335,0.5816,0.6828,0.4087,0.6003,0.7465,0.3406
154,0.5447,0.5369,0.4923,0.3291,0.6259,0.6694,0.4194,0.6750,0.6987,0.3382
155,0.5355,0.5782,0.4955,0.3878,0.5760,0.6692,0.4111,0.6668,0.6352,0.3290
156,0.5824,0.5298,0.4714,0.3755,0.5929,0.6990,0.4182,0.6293,0.6537,0.3345
157,0.5256,0.5513,0.4780,0.3391,0.5835,0.6717,0.4282,0.6674,0.7054,0.3444
158,0.5916,0.5581,0.5355,0.3428,0.5922,0.6770,0.4328,0.6134,0.6612,0.3309
159,0.5388,0.5936,0.4871,0.3932,0.5852,0.6788,0.4207,0.5955,0.6597,0.3324
160,0.5653,0.5515,0.4826,0.3534,0.5883,0.7062,0.4018,0.6484,0.6654,0.3398
161,0.5815,0.5429,0.4770,0.3392,0.6138,0.6641,0.4123,0.6570,0.6593,0.3436
162,0.5525,0.5386,0.4826,0.3770,0.6365,0.6824,0.4128,0.6426,0.6294,0.3533
163,0.5328,0.5239,0.4983,0.3754,0.6398,0.6652,0.4659,0.6500,0.6626,0.3487
164,0.5309,0.5567,0.4917,0.3392,0.5884,0.6782,0.4374,0.7520,0.6496,0.3388
165,0.5613,0.5325,0.4765,0.4142,0.5804,0.6687,0.4394,0.6287,0.6719,0.3391
166,0.5263,0.5373,0.5189,0.3798,0.6082,0.7303,0.4423,0.6323,0.6466,0.3500
