Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
87,0.0449,0.0460,0.5545,0.5348,0.5875,1.6746,1.4110,1.6330,1.5612,1.3986
88,0.0525,0.0554,0.5542,0.5082,0.5701,1.5812,1.6826,1.6796,1.5632,1.4971
89,0.0344,0.0412,0.5741,0.5967,0.5592,1.5252,1.5180,1.3690,1.4226,1.5069
90,0.0435,0.0491,0.5423,0.5310,0.5283,1.4730,1.8221,1.8749,1.3982,1.7342
91,0.0417,0.0324,0.5585,0.5487,0.5749,1.6052,1.6666,1.6010,1.4816,1.4585
92,0.0339,0.0392,0.6010,0.5522,0.5423,1.5850,1.7174,1.4223,1.4474,1.7202
93,0.0307,0.0378,0.6380,0.5292,0.5908,1.6338,1.7075,1.4880,1.4549,1.9082
94,0.0352,0.0286,0.5227,0.5343,0.5584,1.7636,1.7401,1.5071,1.6299,1.7369
95,0.0269,0.0283,0.5820,0.5483,0.5812,1.4013,1.8239,1.6462,1.6323,1.7178
96,0.0266,0.0405,0.5418,0.5580,0.5607,1.6097,1.6725,1.6612,1.5326,1.8466
97,0.0365,0.0337,0.5540,0.5539,0.5746,1.5875,1.6585,1.9586,1.6278,1.5358
98,0.0312,0.0329,0.5296,0.5161,0.5632,1.6387,1.5689,1.6132,1.5454,1.6239
99,0.0687,0.0293,0.4721,0.5154,0.5664,1.7818,1.6058,1.4318,1.6937,1.6155
100,0.0373,0.0266,0.5437,0.5321,0.5437,1.4493,1.4517,1.7639,1.6317,1.4574
101,0.0322,0.0243,0.5176,0.5217,0.5358,1.5254,1.8589,1.5636,1.6486,1.4610
102,0.0280,0.0251,0.5274,0.5410,0.6020,1.5968,1.6856,1.6576,1.8528,1.4957
103,0.0339,0.0186,0.5599,0.5371,0.5455,1.6022,1.8072,1.4808,1.6242,1.6673
104,0.0223,0.0296,0.5458,0.5325,0.5704,1.5131,1.6322,1.6100,1.5680,1.6467
105,0.0246,0.0236,0.5470,0.4981,0.5889,1.5900,1.5487,1.8215,1.5996,1.6951
106,0.0293,0.0320,0.5510,0.5311,0.5633,1.7343,1.7402,1.4677,1.6666,1.5160
107,0.0212,0.0371,0.5729,0.6277,0.5399,1.5493,1.6160,1.5511,1.8063,1.7297
108,0.0280,0.0243,0.5613,0.5595,0.5670,1.6281,1.6943,1.7739,1.4424,1.7483
109,0.0238,0.0256,0.5690,0.5067,0.4970,1.5826,1.5379,1.7294,1.6584,1.7686
110,0.0236,0.0243,0.5469,0.6582,0.5471,1.6004,1.5131,1.7300,1.7478,1.7075
111,0.0259,0.0228,0.6041,0.5498,0.5011,1.6863,1.5894,1.7209,1.4785,1.7173
112,0.0221,0.0216,0.5092,0.5530,0.5657,1.5874,1.6742,1.6960,1.6753,1.6408
113,0.0226,0.0166,0.5251,0.4816,0.5181,1.7167,1.7695,1.6853,1.6472,1.5252
114,0.0445,0.0358,0.4847,0.5073,0.5429,1.8044,2.0621,1.9456,1.7185,1.8393
115,0.0261,0.0218,0.5471,0.5110,0.5404,1.5761,1.6667,1.5767,1.6731,1.5335
116,0.0208,0.0186,0.4967,0.4946,0.5734,1.7363,1.6835,1.8487,1.7050,1.6699
117,0.0260,0.0246,0.4889,0.5358,0.6184,1.5059,1.6672,1.5701,1.6823,1.5664
118,0.0259,0.0297,0.5100,0.5160,0.5485,1.5691,1.7565,1.7209,1.6203,1.6234
119,0.0206,0.0277,0.5289,0.5273,0.4949,1.7023,1.7409,1.5381,1.7836,1.9572
120,0.0222,0.0195,0.5168,0.5107,0.6139,1.9508,1.9902,1.9662,1.7687,1.5138
121,0.0155,0.0230,0.5615,0.4941,0.4950,1.7422,1.6229,1.9065,1.7208,1.5837
122,0.0194,0.0278,0.5209,0.5289,0.5376,1.9159,1.7774,1.8918,1.7889,1.9234
123,0.0158,0.0322,0.4809,0.5219,0.5579,1.5653,1.8233,1.6157,1.6788,1.5878
124,0.0278,0.0264,0.5194,0.5179,0.5093,1.6557,1.5279,1.6900,1.6198,1.6869
125,0.0205,0.0204,0.4854,0.5216,0.5438,1.6835,1.6465,1.7414,1.9280,1.6325
126,0.0224,0.0168,0.5436,0.5013,0.5456,1.9052,1.6968,1.5534,1.9260,1.8815
127,0.0425,0.0215,0.5546,0.5200,0.5251,1.7838,1.5433,1.6186,1.6429,1.7654
128,0.0143,0.0146,0.5532,0.4754,0.5650,1.6767,1.7006,1.7504,1.6258,1.6012
129,0.0187,0.0365,0.5412,0.4978,0.5686,1.7543,1.7414,1.5269,1.6200,1.6340
130,0.0205,0.0166,0.4816,0.4863,0.5117,1.6634,1.7791,1.8594,1.6319,1.8516
131,0.0157,0.0226,0.5156,0.4878,0.4942,1.8981,1.8127,1.7376,1.6184,1.5922
132,0.0148,0.0184,0.4668,0.5175,0.5546,1.8004,1.7320,1.6610,1.6315,1.9842
133,0.0267,0.0209,0.4495,0.5368,0.5222,1.8933,1.7041,1.5157,1.6197,1.6850
