Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
130,0.712,0.824,0.606,0.396,0.674,0.426,0.827,0.68,0.802,0.661
131,0.745,0.849,0.564,0.429,0.658,0.508,0.811,0.695,0.773,0.665
132,0.737,0.861,0.532,0.394,0.72,0.468,0.834,0.665,0.743,0.68
133,0.75,0.843,0.525,0.372,0.726,0.456,0.805,0.693,0.782,0.687
134,0.731,0.843,0.549,0.415,0.685,0.422,0.801,0.676,0.823,0.712
135,0.701,0.819,0.563,0.408,0.729,0.521,0.769,0.687,0.793,0.685
136,0.745,0.838,0.548,0.375,0.733,0.481,0.798,0.681,0.797,0.662
137,0.761,0.87,0.59,0.384,0.683,0.419,0.811,0.682,0.766,0.69
138,0.732,0.813,0.568,0.438,0.723,0.473,0.751,0.684,0.803,0.673
139,0.758,0.831,0.588,0.416,0.69,0.526,0.766,0.663,0.8,0.671
140,0.762,0.826,0.602,0.418,0.661,0.474,0.802,0.69,0.775,0.681
141,0.722,0.812,0.582,0.376,0.717,0.503,0.797,0.696,0.757,0.684
142,0.721,0.826,0.568,0.42,0.675,0.478,0.823,0.682,0.795,0.721
143,0.727,0.831,0.573,0.389,0.705,0.482,0.829,0.667,0.783,0.657
144,0.766,0.868,0.576,0.404,0.676,0.526,0.771,0.69,0.801,0.643
145,0.722,0.804,0.617,0.35,0.71,0.436,0.816,0.619,0.8,0.676
146,0.731,0.861,0.596,0.397,0.699,0.463,0.81,0.672,0.777,0.667
147,0.739,0.831,0.587,0.37,0.743,0.485,0.783,0.66,0.798,0.677
148,0.731,0.81,0.566,0.388,0.731,0.476,0.826,0.682,0.766,0.658
149,0.733,0.812,0.562,0.401,0.731,0.503,0.797,0.67,0.783,0.715
150,0.75,0.829,0.597,0.425,0.723,0.506,0.747,0.696,0.772,0.663
151,0.748,0.813,0.587,0.409,0.71,0.469,0.8,0.666,0.803,0.683
152,0.742,0.837,0.607,0.37,0.692,0.466,0.825,0.65,0.791,0.685
153,0.778,0.832,0.622,0.381,0.66,0.529,0.784,0.671,0.778,0.654
154,0.749,0.833,0.63,0.407,0.701,0.476,0.762,0.678,0.808,0.612
155,0.743,0.823,0.604,0.401,0.712,0.491,0.8,0.668,0.8,0.66
156,0.699,0.821,0.558,0.435,0.732,0.545,0.804,0.695,0.78,0.674
157,0.704,0.826,0.586,0.41,0.74,0.499,0.77,0.694,0.841,0.659
158,0.729,0.814,0.584,0.399,0.741,0.434,0.776,0.695,0.81,0.698
159,0.757,0.849,0.613,0.405,0.707,0.553,0.756,0.672,0.773,0.656
160,0.757,0.831,0.604,0.371,0.718,0.513,0.795,0.691,0.795,0.661
161,0.744,0.813,0.611,0.436,0.713,0.459,0.778,0.681,0.806,0.676
162,0.757,0.813,0.589,0.431,0.671,0.519,0.81,0.67,0.773,0.669
163,0.753,0.832,0.558,0.409,0.729,0.501,0.801,0.679,0.8,0.684
164,0.745,0.82,0.584,0.384,0.734,0.487,0.806,0.689,0.767,0.693
165,0.779,0.855,0.587,0.396,0.68,0.495,0.824,0.681,0.77,0.707
166,0.794,0.845,0.598,0.363,0.703,0.436,0.842,0.692,0.759,0.656
167,0.768,0.836,0.56,0.351,0.764,0.461,0.795,0.708,0.789,0.69
168,0.751,0.815,0.568,0.393,0.739,0.466,0.817,0.668,0.753,0.667
169,0.744,0.821,0.574,0.418,0.751,0.52,0.78,0.684,0.76,0.672
170,0.761,0.818,0.578,0.416,0.715,0.5,0.814,0.673,0.763,0.692
171,0.776,0.819,0.593,0.421,0.714,0.517,0.772,0.679,0.775,0.645
172,0.728,0.838,0.572,0.355,0.745,0.488,0.829,0.671,0.732,0.704
173,0.736,0.842,0.621,0.367,0.718,0.461,0.797,0.643,0.799,0.645
174,0.77,0.836,0.606,0.375,0.74,0.463,0.807,0.624,0.751,0.644
175,0.754,0.829,0.558,0.427,0.737,0.471,0.806,0.658,0.788,0.68
