Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
148,0.775,0.886,0.52,0.438,0.677,0.467,0.796,0.685,0.686,0.59
149,0.828,0.892,0.524,0.437,0.653,0.478,0.725,0.708,0.662,0.608
150,0.845,0.883,0.534,0.467,0.585,0.473,0.768,0.643,0.621,0.629
151,0.823,0.888,0.548,0.447,0.657,0.459,0.761,0.691,0.676,0.631
152,0.838,0.909,0.552,0.449,0.643,0.423,0.788,0.663,0.644,0.58
153,0.81,0.9,0.558,0.373,0.624,0.464,0.835,0.681,0.633,0.609
154,0.838,0.876,0.513,0.457,0.683,0.524,0.689,0.701,0.613,0.572
155,0.859,0.887,0.52,0.465,0.675,0.465,0.689,0.65,0.664,0.562
156,0.797,0.875,0.565,0.485,0.636,0.548,0.738,0.606,0.68,0.604
157,0.835,0.903,0.551,0.423,0.619,0.446,0.779,0.71,0.528,0.624
158,0.823,0.882,0.539,0.501,0.657,0.499,0.702,0.632,0.682,0.593
159,0.84,0.882,0.52,0.393,0.675,0.58,0.709,0.652,0.655,0.623
160,0.809,0.863,0.595,0.476,0.514,0.428,0.8,0.641,0.694,0.623
161,0.827,0.918,0.558,0.45,0.534,0.39,0.819,0.601,0.658,0.575
162,0.86,0.899,0.547,0.398,0.65,0.448,0.756,0.628,0.69,0.54
163,0.813,0.907,0.559,0.402,0.644,0.472,0.798,0.664,0.613,0.605
164,0.839,0.873,0.514,0.429,0.666,0.48,0.751,0.69,0.646,0.619
165,0.837,0.882,0.555,0.439,0.65,0.487,0.726,0.658,0.723,0.553
166,0.873,0.88,0.531,0.506,0.641,0.389,0.698,0.676,0.674,0.541
167,0.824,0.866,0.545,0.444,0.649,0.56,0.777,0.667,0.635,0.577
168,0.815,0.886,0.546,0.475,0.655,0.41,0.819,0.666,0.719,0.53
169,0.822,0.897,0.584,0.435,0.628,0.4,0.751,0.624,0.725,0.554
170,0.817,0.878,0.532,0.385,0.669,0.531,0.682,0.763,0.67,0.604
171,0.825,0.893,0.537,0.424,0.589,0.486,0.801,0.643,0.636,0.634
172,0.837,0.91,0.499,0.473,0.605,0.464,0.706,0.679,0.673,0.564
173,0.85,0.906,0.528,0.445,0.683,0.383,0.736,0.693,0.63,0.56
174,0.819,0.851,0.529,0.523,0.653,0.435,0.751,0.739,0.612,0.64
175,0.862,0.905,0.53,0.525,0.616,0.398,0.745,0.626,0.649,0.567
176,0.812,0.9,0.609,0.328,0.609,0.405,0.846,0.614,0.656,0.621
177,0.821,0.88,0.483,0.43,0.686,0.516,0.789,0.671,0.682,0.573
178,0.83,0.916,0.59,0.473,0.619,0.413,0.793,0.579,0.659,0.526
179,0.826,0.919,0.473,0.452,0.681,0.493,0.595,0.737,0.686,0.549
180,0.795,0.893,0.587,0.479,0.564,0.432,0.779,0.655,0.662,0.638
181,0.854,0.909,0.575,0.384,0.635,0.434,0.774,0.691,0.625,0.533
182,0.812,0.892,0.481,0.441,0.622,0.512,0.799,0.731,0.671,0.599
183,0.826,0.865,0.534,0.48,0.646,0.391,0.811,0.645,0.654,0.616
184,0.839,0.911,0.543,0.473,0.65,0.439,0.768,0.682,0.666,0.562
185,0.849,0.886,0.566,0.39,0.627,0.483,0.81,0.683,0.618,0.619
186,0.851,0.903,0.573,0.469,0.601,0.456,0.706,0.585,0.703,0.52
187,0.813,0.913,0.533,0.44,0.721,0.469,0.69,0.7,0.664,0.528
188,0.824,0.9,0.503,0.468,0.565,0.535,0.752,0.685,0.628,0.611
189,0.819,0.885,0.598,0.377,0.69,0.413,0.821,0.605,0.64,0.588
190,0.856,0.902,0.595,0.444,0.682,0.433,0.73,0.634,0.66,0.524
191,0.842,0.881,0.488,0.499,0.668,0.466,0.746,0.651,0.618,0.622
192,0.842,0.895,0.557,0.432,0.684,0.49,0.663,0.694,0.603,0.624
193,0.827,0.884,0.52,0.47,0.683,0.434,0.728,0.705,0.668,0.653
194,0.84,0.88,0.537,0.468,0.656,0.377,0.776,0.621,0.686,0.581
195,0.826,0.893,0.495,0.354,0.725,0.545,0.739,0.728,0.615,0.564
196,0.854,0.895,0.64,0.494,0.533,0.379,0.651,0.594,0.705,0.556
197,0.834,0.904,0.563,0.43,0.613,0.441,0.727,0.712,0.659,0.602
198,0.809,0.891,0.564,0.373,0.696,0.408,0.826,0.579,0.635,0.598
199,0.825,0.888,0.492,0.462,0.713,0.512,0.702,0.592,0.736,0.592
200,0.823,0.887,0.553,0.471,0.639,0.449,0.776,0.676,0.641,0.592
