Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
87,0.1878,0.1824,0.4807,0.4699,0.4534,1.1111,1.0665,1.0520,1.0564,1.0496
88,0.2102,0.2045,0.4544,0.4413,0.4648,1.0964,1.1510,1.0301,1.0479,1.0783
89,0.2307,0.2004,0.4792,0.4290,0.4593,1.0731,1.1002,1.0328,1.1642,1.1384
90,0.1827,0.1742,0.4609,0.4539,0.4994,1.1251,1.0984,1.0648,1.0265,1.0951
91,0.2010,0.1779,0.4633,0.4430,0.4496,1.1668,1.1220,1.0738,1.0828,1.1421
92,0.1839,0.1640,0.4689,0.4302,0.4329,1.0718,1.1555,1.0032,1.0858,1.1007
93,0.2142,0.1616,0.4442,0.4155,0.4664,1.1186,1.1747,1.0226,1.0672,1.1234
94,0.1866,0.1804,0.4275,0.4350,0.4242,1.1544,1.0686,1.0577,1.0804,1.0713
95,0.2022,0.1816,0.4297,0.4252,0.4334,1.1136,1.0760,1.0641,1.1984,1.1173
96,0.1877,0.1629,0.4342,0.3979,0.4337,1.1203,1.1079,1.0866,1.1174,1.1223
97,0.1555,0.1735,0.4790,0.4144,0.4266,1.0836,1.1793,1.1120,1.0686,1.0933
98,0.1904,0.1688,0.4422,0.4180,0.4544,1.0933,1.1132,1.0893,1.0365,1.1638
99,0.1844,0.1610,0.4586,0.4250,0.4321,1.0763,1.1906,1.1259,1.0974,1.2364
100,0.1716,0.1584,0.4075,0.4219,0.4430,1.1383,1.1122,1.0730,1.0396,1.1282
101,0.1776,0.1626,0.4464,0.4237,0.4306,1.1329,1.0893,1.0461,1.1423,1.0349
102,0.1661,0.1578,0.4377,0.4357,0.4602,1.0746,1.2165,1.0950,1.0780,1.0791
103,0.1744,0.1852,0.4377,0.4162,0.4091,1.1517,1.1370,1.1216,1.0662,1.0607
104,0.1612,0.1298,0.4440,0.4092,0.4211,1.0578,1.1567,1.0739,1.0624,1.1232
105,0.1547,0.1623,0.4323,0.4523,0.4124,1.1362,1.1067,1.1297,1.0408,1.0900
106,0.1488,0.1620,0.4683,0.4118,0.4126,1.1529,1.1066,1.0929,1.1536,1.0747
107,0.1468,0.1379,0.4387,0.3981,0.4209,1.0586,1.1331,1.0906,1.1284,1.1499
108,0.1562,0.1435,0.4249,0.4133,0.4347,1.1241,1.1510,1.1322,1.1406,1.1041
