Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
96,0.0306,0.0166,0.4501,0.4112,0.336,0.8187,0.6932,0.7617,0.7816,0.9576
97,0.0292,0.0196,0.3596,0.3752,0.3595,0.901,0.726,0.9038,0.6867,0.6496
98,0.0324,0.0103,0.3884,0.3859,0.3669,0.6787,0.7862,0.7394,0.6338,0.9712
99,0.0269,0.0162,0.3634,0.3911,0.3487,0.9209,0.7521,0.7257,0.7614,0.7439
100,0.0297,0.0069,0.3999,0.4091,0.3757,0.7147,0.659,0.841,0.6147,0.6707
101,0.0281,0.015,0.4135,0.4091,0.3696,0.9168,0.7988,0.7504,0.7974,0.7497
102,0.0278,0.0121,0.3604,0.3788,0.382,0.8318,0.7522,0.9341,0.6142,0.6916
103,0.0345,0.0095,0.3855,0.3989,0.3705,0.8884,0.7336,0.8468,0.8918,0.7945
104,0.0277,0.0086,0.3638,0.3933,0.3815,0.7247,0.7329,0.725,0.7008,0.6861
105,0.0238,0.0092,0.3895,0.3797,0.3577,0.83,0.7441,0.8428,0.7444,0.7653
106,0.0183,0.0093,0.3622,0.3992,0.3698,0.8626,0.7102,0.7641,0.7235,0.7109
107,0.0216,0.0101,0.3839,0.4075,0.3556,0.7733,0.8034,0.9345,0.7815,0.6579
108,0.0193,0.0138,0.4431,0.3732,0.3793,0.8027,0.7139,0.7496,0.6266,0.6738
109,0.0209,0.0094,0.4169,0.3983,0.3503,0.918,0.6892,0.8235,0.6539,0.8154
110,0.0165,0.007,0.3908,0.4302,0.373,0.8406,0.7931,0.9618,0.6581,0.6277
111,0.0191,0.0076,0.3845,0.4203,0.4062,0.794,0.7223,0.7715,0.8514,0.775
112,0.0196,0.0097,0.4122,0.3594,0.3437,0.8081,0.8197,0.754,0.731,0.7219
113,0.0213,0.0122,0.3532,0.3528,0.3396,0.841,0.6647,0.857,1.047,0.725
114,0.0181,0.0088,0.3875,0.3594,0.3368,0.7429,0.8802,0.8969,0.7948,1.0483
115,0.0145,0.0072,0.415,0.3767,0.3606,0.8009,0.7909,0.9444,0.6549,0.7826
116,0.0178,0.0077,0.3951,0.3491,0.3533,0.8261,1.2268,0.8047,1.1123,0.774
117,0.0141,0.0077,0.3962,0.3975,0.4061,0.8951,0.6261,0.7846,0.7499,0.8733
118,0.0143,0.0074,0.3839,0.3253,0.3732,0.7272,0.6765,1.0598,1.0948,1.3243
119,0.0129,0.0058,0.4112,0.3647,0.3606,0.8068,0.7426,0.7273,0.7249,0.9235
120,0.018,0.0079,0.3792,0.3912,0.4351,1.3132,0.8789,0.8967,0.6785,0.7545
121,0.0145,0.0088,0.3808,0.4148,0.3755,0.7414,0.8716,0.8096,0.725,0.756
122,0.0095,0.0085,0.3832,0.3988,0.4013,0.9128,0.7772,1.0004,0.9145,0.7608
123,0.01,0.006,0.3633,0.3956,0.3454,0.7968,0.9036,0.8897,0.7914,0.7362
124,0.0167,0.0107,0.418,0.3441,0.3624,0.7696,0.7975,1.0979,0.8899,1.0714
125,0.0166,0.0076,0.3674,0.3797,0.3399,0.9917,0.7411,0.7164,0.8338,1.0547
126,0.0155,0.005,0.3804,0.3165,0.3638,0.9031,0.8246,0.7794,0.7428,0.7171
127,0.0123,0.0064,0.3592,0.3558,0.3271,0.835,0.7542,0.8756,0.7173,0.7663
128,0.0074,0.0078,0.387,0.3494,0.3722,0.748,0.7899,0.8308,0.7093,0.8244
129,0.0109,0.0047,0.3741,0.3755,0.3575,0.7765,0.791,0.8308,0.6629,0.9174
130,0.0128,0.0047,0.3456,0.3524,0.348,0.8709,0.8507,0.7561,1.0393,0.7753
131,0.012,0.003,0.3307,0.3447,0.3989,1.0198,0.8973,0.7774,1.187,0.779
132,0.013,0.0083,0.3511,0.3935,0.3341,0.8096,0.7598,0.9466,0.7441,0.8426
133,0.0196,0.0028,0.3697,0.37,0.3308,0.9416,0.8213,0.6799,0.8614,0.6675
134,0.0087,0.0071,0.3732,0.3429,0.3248,0.7547,0.7844,0.9331,0.8269,0.7516
135,0.0097,0.0042,0.3644,0.3587,0.3711,0.7917,0.8969,1.085,0.8679,1.2743
136,0.0098,0.0033,0.3866,0.3544,0.3641,0.8041,0.834,0.8999,1.0214,0.8109
137,0.009,0.003,0.3911,0.3611,0.3783,0.9032,0.6702,0.8743,0.84,0.7459
138,0.0109,0.0046,0.4015,0.3482,0.322,0.8904,0.8125,0.9054,0.7642,1.0142
139,0.0095,0.0027,0.3962,0.4102,0.3499,0.9711,0.8362,0.9309,0.7201,0.7676
140,0.0094,0.0041,0.3551,0.3757,0.3099,0.9106,0.826,0.9006,0.8046,1.459
141,0.0081,0.0047,0.3946,0.3498,0.3499,0.8698,0.9053,0.8883,1.0277,0.7892
142,0.0093,0.004,0.3502,0.3488,0.3183,0.8359,1.052,0.7914,0.8328,0.8011
143,0.0055,0.0053,0.3864,0.3701,0.3401,0.8822,0.8352,0.9822,0.7386,0.7162
144,0.0091,0.0055,0.4026,0.3282,0.3381,0.9473,0.8579,0.914,0.7169,0.9289
145,0.0066,0.002,0.3911,0.3328,0.3667,1.0088,0.7886,0.9305,0.8817,0.865
146,0.007,0.0055,0.3572,0.3599,0.3496,0.9207,0.8457,0.8622,0.8475,0.7933
147,0.0073,0.0041,0.3996,0.4017,0.2992,0.9241,1.02,0.6659,0.8483,0.7701
