Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
118,0.0119,0.0192,0.5389,0.5513,0.5209,3.9357,5.4385,5.7575,6.7721,8.0304
119,0.0133,0.0162,0.5391,0.559,0.5276,4.2767,6.0792,6.147,7.9887,6.0777
120,0.0155,0.0156,0.5228,0.5043,0.665,9.5406,12.4695,7.3566,5.7995,4.8098
121,0.0112,0.0129,0.5718,0.5306,0.488,5.6868,5.7953,8.5298,5.3621,5.9259
122,0.0134,0.0287,0.5414,0.5048,0.5418,15.31,8.1016,10.4388,8.0087,9.5306
123,0.0161,0.0125,0.5103,0.5035,0.5087,5.9598,6.2415,5.6934,7.6267,6.1929
124,0.012,0.0167,0.5227,0.5118,0.551,5.9513,4.466,5.1786,5.7407,8.2631
125,0.0151,0.0155,0.4983,0.5244,0.575,6.6967,3.9781,6.8438,7.2517,7.511
126,0.0251,0.0172,0.5388,0.5855,0.5333,7.4071,7.3135,4.2884,5.6649,6.6256
127,0.0129,0.017,0.5811,0.5229,0.5817,6.1631,5.0413,5.0325,5.4019,6.0472
128,0.0234,0.0177,0.5793,0.4784,0.5669,5.6742,5.5102,4.8525,5.3247,6.6319
129,0.0165,0.0236,0.5313,0.508,0.5267,9.132,6.7866,5.8206,4.3108,6.7462
130,0.0103,0.0139,0.4963,0.5424,0.5388,6.0153,5.4041,8.1777,5.1247,5.8925
131,0.0079,0.0152,0.4783,0.5128,0.5118,6.4009,7.6601,8.6287,8.5792,6.362
132,0.0104,0.0103,0.4963,0.5376,0.4813,8.5042,5.2166,6.3614,5.1412,8.1192
133,0.0137,0.0109,0.4735,0.6265,0.5048,9.0791,5.2377,3.6442,5.5885,5.2395
134,0.0163,0.0123,0.4937,0.4729,0.5471,5.7173,4.8637,5.3029,6.0889,4.7525
135,0.0105,0.0267,0.5726,0.49,0.5364,8.1218,9.6586,6.5099,5.2186,5.4512
136,0.0093,0.0126,0.5205,0.548,0.4969,6.2911,4.3586,11.4767,7.6352,6.2793
137,0.0135,0.0137,0.5413,0.4694,0.5273,7.1777,5.3972,8.1518,6.8234,7.6397
138,0.0131,0.0099,0.5313,0.517,0.4964,6.9766,13.6594,8.3238,4.0233,9.5592
139,0.011,0.0163,0.5098,0.5555,0.5138,8.5726,4.5088,6.925,6.6355,5.1365
140,0.0184,0.0125,0.53,0.5585,0.5055,5.8337,5.2464,6.6264,6.8292,4.9498
141,0.0129,0.0119,0.4867,0.496,0.5125,6.4818,5.6608,5.7253,6.8908,6.6876
142,0.0131,0.018,0.546,0.5164,0.5604,7.3756,8.8375,6.3258,4.1781,9.2077
143,0.0121,0.0158,0.5008,0.5313,0.5608,8.4186,8.7441,15.0213,5.9296,5.6394
144,0.016,0.0131,0.4772,0.5018,0.5373,4.8664,7.9507,4.4287,4.4573,6.4442
145,0.0125,0.0092,0.5256,0.461,0.5538,4.9519,6.7672,9.8342,7.3975,8.21
146,0.0102,0.0087,0.5014,0.5448,0.5161,9.7649,6.2211,6.496,5.8775,4.4728
147,0.0096,0.0138,0.4881,0.5418,0.4371,6.9287,7.711,4.6946,10.5196,6.2634
148,0.0098,0.0142,0.4718,0.4968,0.54,10.1757,7.8931,5.5098,8.7488,8.1722
149,0.0192,0.021,0.512,0.4788,0.5028,6.2612,4.5376,5.9175,6.056,6.5997
150,0.0103,0.0188,0.4396,0.5194,0.4826,5.5875,8.2317,8.0946,4.7007,5.2046
151,0.0146,0.0086,0.5051,0.4985,0.5413,4.6799,5.7156,7.7641,5.1213,5.3787
152,0.0086,0.0105,0.5055,0.5172,0.5609,5.9832,5.5226,5.8235,7.3341,3.7659
153,0.011,0.0086,0.5603,0.4794,0.5379,5.325,9.3193,5.448,5.6848,6.4642
154,0.0063,0.0126,0.489,0.4998,0.5067,6.3894,4.4194,4.9017,6.1826,7.4918
155,0.0107,0.0137,0.4933,0.5313,0.4883,5.3803,6.3992,5.8187,5.7749,10.2933
156,0.0152,0.0139,0.4776,0.5114,0.4356,5.9277,7.1725,5.3618,5.5132,4.7712
157,0.0168,0.0101,0.4699,0.5174,0.4993,6.7653,7.8528,5.2113,6.206,9.1246
158,0.0105,0.0073,0.5878,0.5606,0.5024,6.7788,6.3814,8.7281,6.4443,4.712
159,0.0102,0.011,0.4958,0.5433,0.462,5.0339,8.6345,6.2555,5.3955,4.7285
160,0.0113,0.0152,0.495,0.6017,0.505,6.1235,4.8117,4.566,4.9289,6.8801
161,0.0128,0.0098,0.499,0.5267,0.5486,5.09,6.7903,8.5188,8.8019,4.9781
162,0.014,0.0145,0.5173,0.5412,0.5139,7.8252,6.6521,5.557,11.7182,6.3925
163,0.0124,0.0135,0.4726,0.4644,0.5005,6.2713,11.9527,5.1786,7.1748,6.6781
164,0.0097,0.0151,0.4571,0.4918,0.543,5.8973,8.3685,7.0372,5.922,6.9532
165,0.0117,0.0108,0.4379,0.4687,0.5393,6.8,7.9555,6.5324,5.4701,6.8963
166,0.014,0.0125,0.4994,0.4889,0.519,7.1842,5.926,6.8042,6.2672,7.324
167,0.0067,0.0128,0.5104,0.4818,0.4638,5.1476,4.4567,4.0161,6.4922,4.539
168,0.0148,0.0107,0.4701,0.4745,0.5276,7.2684,10.5822,9.163,7.208,8.0488
169,0.0097,0.0067,0.5192,0.5242,0.5345,8.7588,9.4601,6.2318,9.2125,10.264
170,0.0067,0.0145,0.4863,0.4608,0.5496,5.3908,21.9563,8.0601,10.2757,9.5455
171,0.0085,0.0111,0.4746,0.4755,0.5316,5.7975,7.4599,6.809,5.7593,7.0071
172,0.0216,0.0068,0.5374,0.5369,0.5556,7.5985,5.1802,10.9176,10.0359,6.6853
173,0.0104,0.0076,0.484,0.5034,0.4503,9.3796,5.9302,8.3579,5.9125,8.4944
174,0.0084,0.0079,0.4922,0.4919,0.45,7.5667,5.5763,5.742,7.516,7.2855
175,0.0108,0.0115,0.4821,0.4711,0.5105,6.994,7.1821,7.0799,7.0227,12.9372
176,0.0078,0.0121,0.447,0.4532,0.5116,5.615,17.3994,7.2716,8.4321,6.7579
177,0.007,0.0086,0.4903,0.4783,0.4993,6.0608,5.7075,7.3237,7.1848,7.067
178,0.009,0.0079,0.5208,0.4736,0.4637,13.8767,14.6026,8.0847,5.1788,9.1806
179,0.0114,0.0107,0.4417,0.5136,0.5092,5.7316,7.1276,5.0096,8.6297,5.641
180,0.0093,0.013,0.5501,0.4392,0.499,5.6112,6.8264,4.8309,6.2494,8.32
181,0.0139,0.0092,0.4685,0.4776,0.4586,5.1815,8.2706,8.6722,7.1443,5.572
182,0.0179,0.0144,0.4887,0.4975,0.531,7.0731,11.7604,7.5911,5.7755,7.9187
183,0.0056,0.0082,0.4568,0.4456,0.5088,9.0325,5.2979,6.9995,5.9952,6.3344
184,0.0051,0.0131,0.4863,0.4833,0.4691,8.784,7.7073,3.9683,6.916,5.2912
185,0.0046,0.0091,0.4854,0.4629,0.5114,8.2249,11.68,5.3021,7.5017,7.197
186,0.0174,0.0149,0.4851,0.4336,0.5403,4.8814,11.6968,7.8919,3.656,5.3601
187,0.0084,0.0125,0.4581,0.5466,0.4832,7.5827,8.7855,5.8792,8.7152,6.8491
188,0.0064,0.0106,0.4446,0.4912,0.4686,5.5022,6.0634,8.9508,6.6342,7.0744
189,0.0142,0.0077,0.494,0.4895,0.5473,5.3504,6.146,4.966,6.4133,10.9179
190,0.0084,0.0088,0.4792,0.4997,0.5243,5.5591,7.4054,12.1505,6.7878,10.6767
191,0.0104,0.0074,0.531,0.4385,0.4907,7.5397,6.7168,5.7596,6.571,5.2253
192,0.0091,0.0043,0.5032,0.5278,0.4444,10.2678,10.4879,6.8693,7.1912,7.8911
193,0.0122,0.0089,0.4398,0.5311,0.4925,5.4363,12.688,8.0845,10.572,5.8681
194,0.0076,0.0086,0.4477,0.4612,0.5247,5.2346,13.5361,10.4496,18.2949,18.9569
195,0.0145,0.0073,0.4953,0.5164,0.5379,18.7208,4.6652,5.4449,10.3355,12.8174
196,0.0063,0.0101,0.5294,0.483,0.5379,9.075,7.0129,6.8923,6.1229,10.5747
197,0.005,0.0097,0.5515,0.4569,0.529,9.0636,9.2597,7.6923,5.7545,10.3621
198,0.0074,0.0052,0.4812,0.4496,0.4953,7.5574,7.5615,5.9292,7.41,6.7787
199,0.0059,0.007,0.5102,0.457,0.498,8.6618,5.9405,14.6572,7.3006,8.4085
200,0.0137,0.0148,0.4786,0.5169,0.4937,5.9348,6.8922,6.559,5.327,7.9129
