Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
101,0.0342,0.0293,0.5297,0.5498,0.5314,1.5795,1.7587,1.4967,1.4861,1.3808
102,0.0247,0.0309,0.5229,0.5412,0.531,1.6474,1.8605,1.7039,1.6984,1.5879
103,0.0267,0.0269,0.5814,0.5241,0.4583,1.7017,1.7264,1.4732,1.7049,1.6377
104,0.0312,0.0238,0.5526,0.4893,0.5943,1.5245,1.6262,1.5429,1.5816,1.6839
105,0.0343,0.0221,0.5394,0.5032,0.605,1.62,1.7301,1.6665,1.6058,1.5959
106,0.0315,0.0247,0.5501,0.4735,0.5869,1.754,1.6942,1.4264,1.7904,1.5932
107,0.0277,0.0262,0.5852,0.6321,0.5269,1.4614,1.7001,1.5293,1.8433,1.7585
108,0.0319,0.0326,0.5669,0.6315,0.5436,1.5958,1.5855,1.7857,1.6239,1.7071
109,0.0272,0.0209,0.5598,0.5038,0.5087,1.6465,1.5518,1.663,1.5055,1.7615
110,0.032,0.0226,0.5065,0.632,0.5308,1.6383,1.6138,1.8465,1.6613,1.7072
111,0.0227,0.0193,0.5671,0.5365,0.5232,1.7025,1.6625,1.7068,1.5797,1.7359
112,0.0206,0.0304,0.5441,0.5298,0.5534,1.5971,1.549,1.5929,1.6565,1.6335
113,0.0317,0.0206,0.5162,0.5175,0.5132,1.7233,1.8041,1.6647,1.7093,1.5481
114,0.0275,0.0247,0.4858,0.476,0.5417,1.658,1.9198,1.9959,1.8435,1.7756
115,0.0201,0.0216,0.5492,0.504,0.5342,1.6105,1.8673,1.5944,1.4811,1.6788
116,0.017,0.0186,0.4876,0.482,0.5481,1.6621,1.6636,2.0423,1.5686,1.609
117,0.0275,0.0173,0.4718,0.5396,0.5983,1.563,1.6759,1.5705,1.706,1.6033
118,0.0218,0.0264,0.5456,0.5524,0.4798,1.5447,1.7677,1.6296,1.591,1.5802
119,0.0226,0.0276,0.5055,0.5697,0.5119,1.6992,1.7543,1.6336,1.7827,1.8411
120,0.0254,0.0171,0.4994,0.5322,0.5983,1.9827,1.8939,1.8243,1.6815,1.5206
121,0.0215,0.0167,0.5896,0.494,0.4498,1.6942,1.7796,1.8525,1.7423,1.6044
122,0.0181,0.0188,0.5241,0.5263,0.5342,1.94,1.7782,1.8767,1.9482,1.7933
123,0.0187,0.0239,0.4791,0.5047,0.5455,1.6513,1.8744,1.6589,1.7626,1.5676
124,0.0226,0.0198,0.5201,0.5129,0.5309,1.8335,1.6356,1.5546,1.6863,1.842
125,0.0201,0.0206,0.482,0.5156,0.5248,1.6494,1.6659,1.7729,1.7892,1.6335
126,0.0183,0.0305,0.5156,0.5222,0.4887,1.9554,1.7967,1.6185,1.708,1.8093
127,0.0274,0.0285,0.5434,0.5084,0.5151,1.8121,1.6179,1.5985,1.6718,1.6329
128,0.0235,0.0152,0.5399,0.4648,0.545,1.6299,1.7655,1.6711,1.8898,1.6132
129,0.0274,0.0202,0.5553,0.5135,0.5363,1.7804,1.816,1.6635,1.7116,1.6949
130,0.0166,0.0249,0.4914,0.5154,0.4847,1.6106,1.7047,1.7552,1.7273,1.8834
131,0.0161,0.0188,0.5216,0.5105,0.5309,1.854,1.8746,1.7381,1.8614,1.6368
132,0.0177,0.0213,0.473,0.514,0.4961,1.8164,1.6742,1.693,1.6101,1.8788
133,0.0173,0.0229,0.4211,0.5714,0.4636,1.8273,1.6563,1.6099,1.6471,1.6735
134,0.0189,0.018,0.4969,0.4625,0.543,1.6671,1.6862,1.6635,1.7408,1.7781
135,0.019,0.0236,0.5065,0.5069,0.5268,1.8152,1.9917,1.6651,1.5836,1.713
136,0.0189,0.0124,0.5089,0.5163,0.5002,1.6819,1.828,1.8929,1.8279,1.7662
137,0.0181,0.0117,0.5017,0.4663,0.5184,1.6808,1.5828,1.6286,1.9886,1.874
138,0.0227,0.0137,0.5369,0.5362,0.4981,1.7131,2.0684,1.6549,1.5761,1.865
139,0.0118,0.0118,0.5342,0.55,0.5063,1.9803,1.6775,1.7114,1.613,1.8002
140,0.0107,0.025,0.4802,0.5035,0.5367,1.7508,1.6546,1.6018,1.7469,1.7383
141,0.0177,0.0131,0.4589,0.5074,0.5029,1.7669,1.5631,1.5155,1.8277,1.8472
142,0.0166,0.0354,0.5826,0.4689,0.5167,1.7759,1.8422,1.7511,1.5835,1.9202
143,0.015,0.0103,0.5115,0.5087,0.4789,1.7205,1.8798,1.9104,1.6395,1.766
144,0.0235,0.0112,0.4627,0.5037,0.5113,1.5427,2.1519,1.587,1.5889,1.8313
145,0.0121,0.0207,0.4997,0.5013,0.5538,1.7306,1.6974,1.6693,1.8279,1.8218
146,0.0147,0.0164,0.5007,0.547,0.5031,1.8893,1.8664,1.7556,1.5069,1.7398
147,0.0151,0.0141,0.5089,0.5233,0.4516,1.7488,1.8178,1.6346,1.7586,1.8578
148,0.0186,0.0101,0.4837,0.5009,0.5671,1.8512,1.8596,1.9177,1.8793,1.8255
149,0.0178,0.0116,0.5202,0.4851,0.4889,1.8107,1.7431,1.8046,1.8115,1.8827
150,0.0181,0.0112,0.4824,0.5191,0.5186,1.8778,1.9649,1.7133,1.68,1.62
151,0.0158,0.0137,0.5282,0.494,0.5333,1.6845,1.7818,1.6647,1.9056,1.7345
152,0.0118,0.0135,0.4972,0.5108,0.5271,1.6108,1.7138,1.6682,1.7884,1.7385
153,0.0114,0.0153,0.5086,0.4657,0.5227,1.749,1.9859,1.6727,1.6359,1.8313
154,0.0104,0.0154,0.5494,0.5134,0.4683,1.6674,1.7526,1.6551,1.7877,1.749
155,0.0151,0.0139,0.5012,0.5504,0.4401,1.6101,2.0299,1.7202,1.737,1.7579
156,0.0227,0.0132,0.4797,0.5201,0.438,1.7707,1.7028,1.8222,1.6202,1.5109
157,0.0098,0.01,0.449,0.4827,0.5281,1.7232,2.0251,1.6011,1.8291,2.1259
158,0.0104,0.0182,0.5415,0.5286,0.4773,1.6834,1.817,2.0389,1.7235,1.8091
159,0.0171,0.0176,0.4816,0.5163,0.4606,1.7878,2.0469,1.8321,1.5813,1.6383
160,0.013,0.0153,0.4977,0.5723,0.513,1.8732,1.7625,1.6064,1.6608,1.8551
161,0.0143,0.0116,0.518,0.4774,0.5583,1.6116,1.8598,1.7694,1.9168,1.6869
162,0.0132,0.0138,0.5003,0.5536,0.4901,2.0471,1.9303,1.6728,1.8315,1.6606
163,0.0131,0.0213,0.494,0.504,0.5055,1.6911,2.1345,1.6733,1.8053,1.8715
164,0.0144,0.0219,0.494,0.5018,0.5104,1.7181,1.7445,2.0201,1.6748,1.9289
165,0.0117,0.0086,0.4525,0.4656,0.5057,1.6623,1.8377,1.8369,1.5538,1.9014
166,0.017,0.0127,0.5232,0.4931,0.4789,1.7437,1.6976,1.9066,1.611,1.806
167,0.0123,0.0217,0.5344,0.4723,0.4764,1.7813,1.6009,1.6189,1.8675,1.7688
168,0.0119,0.0117,0.47,0.4962,0.529,1.7008,2.0625,1.703,1.7258,1.9711
169,0.0112,0.016,0.4805,0.4809,0.4724,1.6992,1.9475,1.6972,1.7495,1.7279
170,0.0104,0.0138,0.487,0.4691,0.5428,1.7138,2.025,1.903,1.8565,1.8439
171,0.0094,0.013,0.4934,0.5285,0.525,1.8759,1.7967,1.8695,1.7119,1.747
172,0.0149,0.0107,0.5208,0.4927,0.5611,1.7826,1.8552,2.0025,2.0668,1.8038
173,0.0146,0.0122,0.4854,0.4784,0.4365,1.687,1.7734,1.9316,1.8095,1.7622
174,0.0133,0.0115,0.4849,0.4887,0.4834,1.765,1.7873,1.7081,1.7791,1.7433
175,0.0149,0.0099,0.4568,0.4602,0.4944,1.9514,1.8481,1.7858,1.872,1.9335
176,0.0179,0.0109,0.4693,0.5019,0.5119,1.6281,2.0714,1.7063,1.779,1.883
177,0.0138,0.0201,0.4791,0.4533,0.4935,1.8433,1.5787,1.7727,1.8372,1.8626
178,0.0109,0.0112,0.5085,0.4833,0.4589,1.9877,2.098,1.9297,1.6832,1.7219
179,0.0105,0.0087,0.4681,0.4754,0.524,1.8556,1.8521,1.6624,1.7765,1.6103
180,0.0129,0.0102,0.4806,0.4692,0.4619,1.6458,2.0692,1.8599,1.7604,1.7293
181,0.011,0.0144,0.4758,0.4989,0.4953,1.8341,1.8661,1.8729,1.7558,1.8192
182,0.0143,0.0101,0.4881,0.501,0.4878,1.88,2.1031,1.6913,1.8875,1.8443
