Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
124,0.9147,0.9468,1.2340,1.1681,1.2770,1.6491,1.6395,1.5683,1.6281,1.6107
125,0.9868,0.8934,1.1795,1.1766,1.2035,1.5996,1.6175,1.4991,1.6332,1.6287
126,0.9425,0.9331,1.2166,1.1599,1.2107,1.6035,1.6853,1.5443,1.6042,1.5938
127,0.9189,0.9091,1.2091,1.2090,1.1809,1.7300,1.6098,1.5373,1.5455,1.6705
128,0.9102,0.9063,1.2251,1.2587,1.3035,1.6050,1.6681,1.7526,1.6666,1.8595
129,0.9943,0.8811,1.2730,1.1693,1.1745,1.6509,1.6752,1.6541,1.5833,1.5531
130,1.0268,0.9288,1.2427,1.2130,1.2170,1.6943,1.6031,1.7618,1.6302,1.6460
131,0.9729,0.8789,1.2151,1.2073,1.2030,1.6605,1.6932,1.5625,1.7224,1.6273
132,0.9628,0.9139,1.1674,1.2039,1.1577,1.5937,1.6125,1.6923,1.5642,1.5933
133,1.0188,0.8555,1.3204,1.1860,1.2050,1.6511,1.6881,1.7488,1.6046,1.6969
134,0.9211,0.8654,1.1862,1.1772,1.2062,1.6115,1.6879,1.6505,1.6753,1.6667
135,0.9445,0.8652,1.2044,1.1792,1.1744,1.6457,1.6879,1.6431,1.5848,1.6042
136,0.9187,0.9304,1.2159,1.1399,1.1976,1.5901,1.6416,1.6683,1.6627,1.5738
137,0.8743,0.8590,1.1599,1.1477,1.1965,1.7868,1.7027,1.5238,1.6379,1.6407
138,0.9302,0.9293,1.2324,1.1940,1.1858,1.7087,1.6732,1.4742,1.6924,1.5964
139,0.8862,0.8311,1.1985,1.1471,1.2232,1.5415,1.6547,1.5251,1.6105,1.7669
140,0.9492,0.8312,1.2039,1.2467,1.2485,1.6277,1.8398,1.6092,1.5770,1.7084
141,0.8937,0.8562,1.2176,1.1546,1.1929,1.6435,1.6395,1.5866,1.6164,1.6218
