Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
134,0.627,0.725,0.533,0.322,0.646,0.545,0.853,0.629,0.825,0.76
135,0.619,0.723,0.538,0.321,0.647,0.511,0.869,0.63,0.823,0.751
136,0.614,0.746,0.533,0.309,0.648,0.527,0.867,0.632,0.831,0.74
137,0.615,0.728,0.505,0.307,0.666,0.559,0.865,0.646,0.796,0.755
138,0.625,0.737,0.515,0.332,0.659,0.56,0.847,0.653,0.827,0.756
139,0.614,0.719,0.503,0.32,0.688,0.568,0.844,0.659,0.821,0.743
140,0.62,0.741,0.508,0.328,0.671,0.533,0.863,0.663,0.814,0.759
141,0.623,0.741,0.527,0.326,0.649,0.568,0.839,0.663,0.83,0.758
142,0.626,0.709,0.519,0.338,0.651,0.548,0.849,0.653,0.83,0.753
143,0.622,0.73,0.54,0.332,0.646,0.53,0.863,0.636,0.84,0.735
144,0.61,0.733,0.527,0.358,0.654,0.557,0.858,0.65,0.824,0.757
145,0.633,0.76,0.508,0.34,0.646,0.549,0.882,0.647,0.811,0.754
146,0.612,0.716,0.526,0.337,0.674,0.544,0.851,0.66,0.826,0.744
147,0.641,0.741,0.519,0.332,0.659,0.558,0.855,0.64,0.829,0.754
148,0.611,0.731,0.52,0.319,0.66,0.514,0.885,0.64,0.825,0.746
149,0.64,0.749,0.512,0.359,0.656,0.551,0.846,0.659,0.827,0.763
150,0.623,0.738,0.518,0.339,0.668,0.543,0.867,0.645,0.824,0.742
151,0.621,0.746,0.525,0.357,0.668,0.548,0.847,0.671,0.824,0.751
152,0.649,0.758,0.506,0.352,0.657,0.568,0.876,0.657,0.819,0.744
153,0.62,0.728,0.511,0.314,0.687,0.527,0.873,0.648,0.832,0.759
154,0.634,0.753,0.517,0.327,0.664,0.505,0.881,0.645,0.836,0.761
155,0.629,0.757,0.515,0.341,0.675,0.53,0.874,0.643,0.827,0.742
156,0.638,0.758,0.515,0.348,0.673,0.529,0.863,0.646,0.835,0.761
157,0.636,0.748,0.525,0.331,0.676,0.526,0.867,0.656,0.827,0.769
158,0.629,0.753,0.53,0.346,0.659,0.551,0.861,0.66,0.834,0.76
159,0.632,0.748,0.523,0.332,0.68,0.508,0.869,0.655,0.83,0.768
160,0.628,0.739,0.523,0.351,0.679,0.527,0.87,0.638,0.839,0.757
161,0.637,0.743,0.533,0.327,0.679,0.524,0.862,0.662,0.823,0.768
162,0.639,0.747,0.519,0.366,0.681,0.579,0.839,0.677,0.827,0.766
163,0.632,0.732,0.519,0.348,0.695,0.548,0.847,0.668,0.84,0.755
164,0.647,0.743,0.528,0.354,0.673,0.552,0.856,0.651,0.834,0.761
165,0.646,0.745,0.527,0.353,0.675,0.568,0.849,0.673,0.835,0.768
166,0.63,0.738,0.513,0.329,0.68,0.549,0.869,0.662,0.831,0.746
167,0.645,0.746,0.527,0.361,0.66,0.579,0.857,0.669,0.84,0.751
168,0.642,0.746,0.532,0.326,0.678,0.548,0.87,0.642,0.835,0.762
169,0.647,0.758,0.559,0.362,0.655,0.542,0.856,0.641,0.85,0.764
170,0.646,0.744,0.518,0.339,0.687,0.559,0.864,0.649,0.836,0.758
171,0.649,0.74,0.547,0.337,0.665,0.522,0.862,0.644,0.847,0.754
172,0.623,0.74,0.54,0.348,0.669,0.541,0.865,0.654,0.843,0.756
173,0.634,0.743,0.522,0.328,0.672,0.557,0.878,0.643,0.829,0.756
174,0.614,0.734,0.535,0.341,0.664,0.526,0.869,0.654,0.838,0.771
175,0.647,0.749,0.552,0.355,0.653,0.507,0.864,0.654,0.847,0.764
176,0.647,0.749,0.543,0.359,0.659,0.548,0.851,0.654,0.845,0.749
177,0.663,0.734,0.538,0.357,0.67,0.546,0.854,0.664,0.839,0.757
178,0.64,0.745,0.541,0.336,0.693,0.536,0.858,0.659,0.831,0.745
179,0.65,0.743,0.558,0.34,0.69,0.548,0.842,0.662,0.848,0.751
180,0.631,0.742,0.527,0.332,0.681,0.528,0.876,0.655,0.832,0.745
181,0.658,0.744,0.561,0.335,0.654,0.534,0.868,0.647,0.844,0.742
182,0.649,0.747,0.56,0.345,0.667,0.54,0.862,0.651,0.852,0.742
183,0.65,0.732,0.533,0.337,0.676,0.562,0.871,0.67,0.835,0.75
184,0.65,0.723,0.552,0.322,0.685,0.541,0.868,0.659,0.839,0.745
