Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
87,0.4716,0.4439,0.5379,0.5085,0.5216,0.8658,0.8597,0.8600,0.8373,0.8513
88,0.5209,0.4381,0.4988,0.4965,0.5218,0.8614,0.8458,0.8469,0.8474,0.8521
89,0.5354,0.4269,0.5017,0.4969,0.5042,0.8528,0.8673,0.8237,0.8323,0.8561
90,0.4678,0.4360,0.5105,0.4891,0.5087,0.8618,0.8704,0.8297,0.8390,0.8497
91,0.4834,0.4537,0.5278,0.4922,0.5054,0.8562,0.8644,0.8176,0.8281,0.8502
92,0.5141,0.4229,0.4939,0.4960,0.4858,0.8468,0.8670,0.8186,0.8173,0.8485
93,0.4906,0.4542,0.5130,0.4912,0.4995,0.8617,0.8598,0.8423,0.8430,0.8561
94,0.4591,0.4233,0.5161,0.5051,0.4994,0.8661,0.8621,0.8148,0.8409,0.8474
95,0.4426,0.4431,0.5098,0.5063,0.4934,0.8474,0.8534,0.8355,0.8272,0.8369
96,0.4275,0.4448,0.4996,0.5003,0.5054,0.8631,0.8677,0.8205,0.8253,0.8276
97,0.4874,0.4179,0.5095,0.4998,0.5084,0.8579,0.8538,0.8337,0.8369,0.8372
98,0.4671,0.4632,0.4985,0.4874,0.4919,0.8480,0.8798,0.8082,0.8253,0.8376
99,0.4728,0.4314,0.5096,0.4857,0.4905,0.8439,0.8736,0.8297,0.8133,0.8474
100,0.4656,0.4002,0.4837,0.4750,0.5013,0.8386,0.8534,0.8234,0.8380,0.8445
101,0.4592,0.4272,0.5137,0.4751,0.4862,0.8524,0.8603,0.8148,0.8433,0.8576
102,0.4190,0.4170,0.5029,0.4890,0.4934,0.8318,0.8531,0.8137,0.8259,0.8375
103,0.4437,0.3913,0.4813,0.4657,0.4975,0.8588,0.8602,0.8265,0.8277,0.8554
104,0.4448,0.4173,0.4952,0.4695,0.4849,0.8308,0.8652,0.8099,0.8197,0.8242
105,0.4177,0.4007,0.4976,0.4942,0.4878,0.8479,0.8539,0.8248,0.8236,0.8433
106,0.4502,0.4263,0.4726,0.4729,0.4947,0.8441,0.8495,0.8329,0.8101,0.8441
107,0.4302,0.4408,0.4792,0.4821,0.4697,0.8470,0.8450,0.8472,0.8137,0.8263
108,0.4176,0.4377,0.5081,0.4515,0.4684,0.8379,0.8599,0.8384,0.8392,0.8520
109,0.4195,0.3900,0.4935,0.4656,0.4889,0.8655,0.8638,0.8019,0.8406,0.8432
110,0.4465,0.4338,0.4559,0.4695,0.4912,0.8372,0.8541,0.8157,0.8235,0.8464
111,0.4187,0.4257,0.4865,0.4591,0.4890,0.8495,0.8601,0.8263,0.8195,0.8478
112,0.4298,0.4411,0.4760,0.4568,0.4635,0.8525,0.8432,0.8148,0.8187,0.8388
