Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
170,0.768,0.844,0.601,0.425,0.704,0.507,0.744,0.686,0.812,0.654
171,0.754,0.85,0.566,0.383,0.727,0.467,0.822,0.688,0.788,0.673
172,0.785,0.827,0.636,0.403,0.701,0.5,0.776,0.667,0.787,0.642
173,0.775,0.851,0.591,0.42,0.715,0.496,0.788,0.686,0.791,0.662
174,0.784,0.85,0.586,0.407,0.691,0.547,0.783,0.685,0.787,0.657
175,0.754,0.851,0.604,0.389,0.712,0.463,0.791,0.686,0.8,0.664
176,0.793,0.858,0.578,0.403,0.688,0.529,0.779,0.691,0.781,0.672
177,0.762,0.86,0.579,0.414,0.705,0.477,0.815,0.7,0.774,0.686
178,0.741,0.85,0.57,0.438,0.745,0.546,0.771,0.703,0.768,0.686
179,0.743,0.854,0.6,0.391,0.718,0.517,0.821,0.685,0.781,0.679
180,0.751,0.851,0.585,0.409,0.689,0.535,0.811,0.703,0.787,0.683
181,0.778,0.847,0.594,0.394,0.709,0.505,0.787,0.69,0.801,0.681
182,0.761,0.846,0.595,0.425,0.714,0.536,0.761,0.71,0.785,0.67
183,0.794,0.858,0.662,0.409,0.692,0.473,0.75,0.686,0.787,0.632
184,0.788,0.841,0.586,0.42,0.717,0.507,0.753,0.71,0.765,0.669
185,0.782,0.839,0.612,0.427,0.685,0.52,0.749,0.687,0.824,0.641
186,0.76,0.847,0.582,0.398,0.721,0.536,0.817,0.687,0.788,0.657
187,0.744,0.856,0.585,0.359,0.738,0.495,0.815,0.656,0.795,0.651
188,0.768,0.836,0.586,0.409,0.721,0.514,0.788,0.678,0.794,0.658
189,0.762,0.848,0.572,0.392,0.729,0.508,0.802,0.704,0.796,0.658
190,0.782,0.861,0.604,0.399,0.716,0.501,0.793,0.682,0.791,0.641
191,0.748,0.846,0.581,0.414,0.738,0.508,0.788,0.691,0.783,0.668
192,0.729,0.849,0.587,0.386,0.744,0.52,0.781,0.692,0.785,0.646
193,0.757,0.84,0.597,0.432,0.709,0.552,0.771,0.695,0.797,0.66
194,0.785,0.842,0.603,0.424,0.729,0.481,0.759,0.683,0.788,0.667
195,0.763,0.867,0.594,0.404,0.713,0.493,0.785,0.707,0.811,0.662
196,0.77,0.862,0.581,0.429,0.706,0.542,0.773,0.703,0.795,0.66
197,0.771,0.856,0.577,0.382,0.717,0.477,0.808,0.692,0.789,0.672
198,0.752,0.857,0.613,0.38,0.716,0.456,0.81,0.673,0.796,0.652
199,0.769,0.853,0.569,0.429,0.72,0.558,0.752,0.731,0.762,0.669
200,0.758,0.848,0.614,0.425,0.718,0.489,0.787,0.695,0.799,0.667
