Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
64,0.386,0.119,0.16,0.265,0.4,0.322,0.589,0.345,0.484,0.937
65,0.378,0.09,0.227,0.212,0.405,0.317,0.444,0.401,0.336,0.963
66,0.355,0.118,0.171,0.181,0.391,0.227,0.252,0.397,0.444,0.964
67,0.418,0.191,0.276,0.189,0.424,0.243,0.357,0.419,0.475,0.943
68,0.427,0.174,0.251,0.229,0.369,0.257,0.361,0.45,0.376,0.95
69,0.392,0.09,0.159,0.158,0.421,0.288,0.359,0.479,0.405,0.965
70,0.329,0.113,0.185,0.173,0.326,0.211,0.528,0.405,0.454,0.963
71,0.22,0.084,0.263,0.201,0.425,0.346,0.413,0.448,0.478,0.947
72,0.21,0.04,0.195,0.089,0.358,0.263,0.61,0.358,0.216,0.981
73,0.254,0.127,0.266,0.212,0.333,0.322,0.465,0.458,0.199,0.962
74,0.292,0.082,0.263,0.189,0.341,0.279,0.444,0.37,0.29,0.98
75,0.332,0.12,0.225,0.226,0.337,0.316,0.457,0.304,0.331,0.976
76,0.403,0.125,0.214,0.283,0.246,0.345,0.507,0.54,0.313,0.949
77,0.43,0.073,0.184,0.209,0.4,0.376,0.548,0.353,0.363,0.96
78,0.369,0.089,0.22,0.223,0.407,0.363,0.539,0.456,0.374,0.946
79,0.363,0.072,0.226,0.233,0.34,0.323,0.422,0.574,0.228,0.959
80,0.389,0.115,0.225,0.248,0.314,0.336,0.296,0.406,0.265,0.97
81,0.351,0.074,0.262,0.255,0.264,0.279,0.255,0.454,0.363,0.963
82,0.386,0.113,0.238,0.263,0.329,0.241,0.369,0.431,0.258,0.971
83,0.377,0.104,0.25,0.261,0.301,0.228,0.451,0.469,0.284,0.961
84,0.34,0.07,0.205,0.262,0.322,0.219,0.464,0.375,0.289,0.975
85,0.281,0.037,0.146,0.2,0.404,0.29,0.478,0.415,0.176,0.977
86,0.393,0.058,0.197,0.197,0.386,0.27,0.576,0.417,0.276,0.97
87,0.352,0.087,0.201,0.219,0.303,0.296,0.53,0.394,0.217,0.978
88,0.409,0.07,0.14,0.297,0.434,0.364,0.524,0.482,0.254,0.955
89,0.483,0.069,0.238,0.212,0.29,0.344,0.397,0.413,0.29,0.97
90,0.449,0.115,0.152,0.185,0.465,0.303,0.378,0.575,0.234,0.941
91,0.417,0.069,0.25,0.206,0.415,0.295,0.546,0.42,0.29,0.949
92,0.385,0.055,0.225,0.203,0.462,0.175,0.446,0.217,0.352,0.974
93,0.303,0.047,0.217,0.178,0.342,0.229,0.457,0.348,0.335,0.976
94,0.292,0.036,0.296,0.27,0.351,0.298,0.514,0.315,0.332,0.971
95,0.382,0.049,0.242,0.117,0.424,0.29,0.669,0.268,0.271,0.966
96,0.252,0.067,0.163,0.16,0.35,0.267,0.719,0.362,0.194,0.966
97,0.26,0.05,0.26,0.141,0.439,0.416,0.656,0.393,0.221,0.948
98,0.398,0.099,0.178,0.166,0.394,0.298,0.498,0.462,0.39,0.963
99,0.426,0.088,0.252,0.231,0.343,0.296,0.409,0.349,0.286,0.97
100,0.395,0.065,0.216,0.175,0.426,0.248,0.393,0.337,0.341,0.967
