Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
66,0.238,0.031,0.3,0.138,0.348,0.292,0.396,0.241,0.155,0.98
67,0.276,0.071,0.252,0.165,0.304,0.294,0.242,0.254,0.277,0.972
68,0.269,0.035,0.188,0.266,0.521,0.261,0.277,0.244,0.221,0.967
69,0.251,0.056,0.193,0.113,0.285,0.282,0.388,0.348,0.386,0.98
70,0.329,0.017,0.12,0.254,0.36,0.288,0.261,0.181,0.451,0.971
71,0.324,0.026,0.226,0.2,0.323,0.264,0.403,0.362,0.21,0.968
72,0.289,0.043,0.245,0.13,0.276,0.226,0.158,0.193,0.159,0.991
73,0.313,0.025,0.311,0.114,0.316,0.187,0.278,0.201,0.282,0.981
74,0.324,0.032,0.216,0.198,0.346,0.315,0.386,0.258,0.278,0.967
75,0.261,0.031,0.13,0.156,0.288,0.181,0.438,0.368,0.232,0.985
76,0.264,0.031,0.163,0.127,0.334,0.333,0.401,0.402,0.312,0.968
77,0.28,0.029,0.292,0.194,0.182,0.218,0.382,0.236,0.268,0.983
78,0.329,0.075,0.165,0.234,0.272,0.319,0.21,0.192,0.235,0.977
79,0.298,0.024,0.152,0.107,0.334,0.114,0.255,0.23,0.249,0.992
80,0.252,0.038,0.205,0.12,0.283,0.152,0.3,0.208,0.32,0.987
81,0.329,0.021,0.299,0.227,0.376,0.15,0.249,0.256,0.174,0.983
82,0.301,0.037,0.199,0.108,0.332,0.104,0.184,0.11,0.186,0.991
83,0.297,0.032,0.155,0.205,0.201,0.245,0.261,0.28,0.274,0.98
84,0.309,0.035,0.202,0.184,0.21,0.142,0.17,0.329,0.254,0.993
85,0.287,0.082,0.149,0.182,0.268,0.222,0.488,0.331,0.342,0.97
86,0.421,0.07,0.131,0.31,0.251,0.151,0.267,0.211,0.219,0.985
87,0.375,0.036,0.199,0.183,0.264,0.23,0.371,0.269,0.205,0.985
88,0.185,0.042,0.219,0.208,0.217,0.236,0.185,0.151,0.192,0.998
89,0.33,0.02,0.264,0.14,0.341,0.198,0.333,0.19,0.276,0.986
90,0.298,0.041,0.105,0.242,0.301,0.345,0.387,0.306,0.312,0.978
91,0.327,0.081,0.2,0.128,0.248,0.202,0.181,0.375,0.3,0.98
92,0.336,0.01,0.251,0.136,0.401,0.178,0.171,0.131,0.325,0.986
93,0.39,0.074,0.333,0.255,0.209,0.176,0.232,0.187,0.279,0.979
94,0.222,0.068,0.304,0.215,0.364,0.245,0.298,0.203,0.278,0.98
95,0.282,0.071,0.268,0.118,0.344,0.163,0.213,0.207,0.34,0.98
96,0.263,0.064,0.161,0.15,0.367,0.237,0.331,0.309,0.246,0.984
97,0.314,0.018,0.249,0.166,0.216,0.192,0.085,0.165,0.36,0.992
98,0.263,0.087,0.281,0.284,0.266,0.274,0.356,0.166,0.313,0.972
99,0.275,0.046,0.198,0.138,0.366,0.197,0.249,0.187,0.319,0.987
100,0.243,0.051,0.153,0.132,0.311,0.301,0.248,0.197,0.221,0.989
