Round,Subset,0,1,2,3,4,5,6,7,8,9
10,6,0.026,0.168,0.0,0.0,0.0,0.997,0.0,0.0,0.219,0.158
10,7,0.185,0.123,0.0,0.0,0.0,0.0,0.997,0.004,0.434,0.202
10,8,0.025,0.038,0.0,0.0,0.0,0.0,0.0,0.999,0.211,0.002
10,9,0.0,0.0,0.022,0.018,0.177,0.008,0.149,0.025,0.999,0.0
10,10,0.35,0.005,0.229,0.138,0.131,0.331,0.376,0.312,0.219,0.986
10,Aggregated,0.351,0.005,0.238,0.135,0.13,0.336,0.369,0.313,0.212,0.983
11,1,0.995,0.004,0.0,0.002,0.061,0.059,0.178,0.007,0.0,0.001
11,2,0.028,0.995,0.056,0.015,0.434,0.038,0.085,0.112,0.0,0.0
11,3,0.022,0.055,0.999,0.0,0.0,0.0,0.0,0.0,0.063,0.067
11,4,0.11,0.004,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.031
11,5,0.0,0.181,0.0,0.0,0.997,0.0,0.0,0.0,0.095,0.005
11,6,0.206,0.252,0.0,0.0,0.0,0.993,0.0,0.0,0.326,0.076
11,7,0.168,0.04,0.0,0.0,0.0,0.0,0.997,0.0,0.393,0.005
11,8,0.115,0.039,0.0,0.0,0.0,0.0,0.0,0.996,0.196,0.012
11,9,0.0,0.0,0.194,0.061,0.192,0.003,0.172,0.065,0.998,0.0
11,10,0.282,0.016,0.338,0.179,0.174,0.207,0.493,0.116,0.281,0.976
11,Aggregated,0.285,0.016,0.331,0.181,0.183,0.208,0.49,0.118,0.281,0.976
12,1,0.994,0.016,0.001,0.011,0.005,0.034,0.309,0.024,0.0,0.003
12,2,0.062,0.998,0.221,0.029,0.206,0.044,0.049,0.082,0.003,0.0
12,3,0.002,0.19,0.999,0.0,0.0,0.0,0.0,0.0,0.014,0.127
12,4,0.021,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.295,0.076
12,5,0.006,0.166,0.0,0.0,0.995,0.0,0.0,0.0,0.171,0.21
12,6,0.172,0.043,0.0,0.0,0.0,0.999,0.0,0.0,0.14,0.174
12,7,0.226,0.001,0.0,0.0,0.0,0.0,0.999,0.0,0.273,0.27
12,8,0.118,0.115,0.0,0.0,0.0,0.0,0.0,0.998,0.242,0.038
12,9,0.0,0.0,0.116,0.027,0.258,0.025,0.265,0.039,0.995,0.0
12,10,0.285,0.0,0.13,0.194,0.389,0.347,0.221,0.163,0.314,0.983
12,Aggregated,0.286,0.0,0.133,0.195,0.398,0.349,0.223,0.166,0.31,0.982
13,1,1.0,0.019,0.0,0.02,0.03,0.025,0.222,0.029,0.0,0.004
13,2,0.019,0.997,0.211,0.023,0.273,0.043,0.098,0.127,0.004,0.0
13,3,0.0,0.089,1.0,0.0,0.0,0.0,0.0,0.0,0.033,0.048
13,4,0.051,0.037,0.0,1.0,0.0,0.0,0.0,0.0,0.119,0.058
13,5,0.07,0.184,0.0,0.0,0.996,0.0,0.0,0.0,0.228,0.19
13,6,0.189,0.132,0.0,0.0,0.0,0.997,0.0,0.0,0.408,0.047
13,7,0.335,0.053,0.0,0.0,0.0,0.0,0.997,0.014,0.313,0.156
13,8,0.126,0.156,0.0,0.0,0.0,0.0,0.0,0.994,0.18,0.023
13,9,0.0,0.0,0.013,0.048,0.229,0.049,0.153,0.06,0.999,0.0
13,10,0.353,0.013,0.363,0.14,0.124,0.245,0.296,0.352,0.321,0.983
13,Aggregated,0.353,0.013,0.364,0.142,0.132,0.247,0.3,0.359,0.32,0.98
14,1,0.991,0.004,0.011,0.007,0.157,0.036,0.326,0.039,0.0,0.001
14,2,0.054,0.998,0.061,0.007,0.295,0.162,0.019,0.114,0.004,0.0
14,3,0.017,0.219,0.999,0.0,0.0,0.0,0.0,0.0,0.074,0.182
14,4,0.06,0.137,0.0,0.998,0.0,0.0,0.0,0.0,0.308,0.05
14,5,0.003,0.146,0.0,0.0,0.998,0.0,0.0,0.0,0.125,0.191
14,6,0.15,0.09,0.0,0.0,0.0,0.997,0.0,0.0,0.389,0.204
14,7,0.116,0.186,0.0,0.0,0.0,0.0,0.996,0.002,0.488,0.146
14,8,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.997,0.214,0.013
14,9,0.0,0.001,0.007,0.023,0.239,0.068,0.113,0.064,0.998,0.0
14,10,0.345,0.034,0.33,0.26,0.419,0.144,0.422,0.411,0.145,0.949
14,Aggregated,0.34,0.034,0.333,0.256,0.417,0.145,0.428,0.413,0.153,0.947
15,1,1.0,0.014,0.0,0.01,0.131,0.044,0.065,0.028,0.0,0.0
15,2,0.084,0.998,0.113,0.051,0.208,0.058,0.141,0.135,0.013,0.0
15,3,0.006,0.133,0.999,0.0,0.0,0.0,0.0,0.0,0.081,0.049
15,4,0.1,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.19,0.077
15,5,0.006,0.127,0.0,0.0,0.997,0.0,0.0,0.0,0.13,0.251
15,6,0.191,0.167,0.0,0.0,0.0,0.999,0.0,0.0,0.221,0.189
15,7,0.277,0.185,0.0,0.0,0.0,0.0,0.997,0.001,0.36,0.228
15,8,0.144,0.052,0.0,0.0,0.0,0.0,0.0,0.998,0.221,0.055
15,9,0.0,0.0,0.122,0.053,0.26,0.008,0.074,0.083,0.998,0.0
15,10,0.381,0.051,0.252,0.166,0.317,0.213,0.436,0.315,0.298,0.964
15,Aggregated,0.383,0.052,0.258,0.166,0.327,0.212,0.431,0.321,0.291,0.961
16,1,0.99,0.006,0.047,0.042,0.202,0.015,0.255,0.054,0.0,0.0
16,2,0.034,0.998,0.368,0.035,0.093,0.027,0.126,0.17,0.007,0.0
16,3,0.003,0.105,0.998,0.0,0.0,0.0,0.0,0.0,0.174,0.219
16,4,0.025,0.04,0.0,1.0,0.0,0.0,0.0,0.0,0.202,0.098
16,5,0.001,0.163,0.0,0.0,0.998,0.0,0.0,0.0,0.142,0.185
16,6,0.11,0.05,0.0,0.0,0.0,0.998,0.0,0.0,0.346,0.201
16,7,0.309,0.091,0.0,0.0,0.0,0.0,0.997,0.025,0.392,0.16
16,8,0.102,0.061,0.0,0.0,0.0,0.0,0.0,0.997,0.282,0.029
16,9,0.0,0.003,0.238,0.07,0.01,0.124,0.179,0.124,0.999,0.0
16,10,0.324,0.057,0.329,0.249,0.323,0.172,0.379,0.25,0.284,0.971
16,Aggregated,0.322,0.057,0.332,0.244,0.323,0.173,0.384,0.259,0.285,0.97
17,1,0.998,0.004,0.002,0.007,0.17,0.057,0.032,0.013,0.0,0.0
17,2,0.03,0.999,0.27,0.085,0.09,0.04,0.103,0.119,0.01,0.0
17,3,0.001,0.177,0.999,0.0,0.0,0.0,0.0,0.001,0.044,0.056
17,4,0.086,0.101,0.0,0.999,0.0,0.0,0.0,0.0,0.175,0.141
17,5,0.001,0.056,0.0,0.0,0.998,0.0,0.0,0.0,0.093,0.252
17,6,0.286,0.075,0.0,0.0,0.0,0.998,0.0,0.001,0.171,0.271
17,7,0.156,0.094,0.0,0.0,0.0,0.0,0.997,0.003,0.52,0.19
17,8,0.032,0.13,0.0,0.0,0.011,0.0,0.002,1.0,0.167,0.025
17,9,0.0,0.0,0.121,0.067,0.191,0.055,0.188,0.194,0.999,0.0
17,10,0.379,0.034,0.165,0.106,0.351,0.302,0.411,0.352,0.248,0.968
17,Aggregated,0.38,0.034,0.169,0.107,0.351,0.303,0.411,0.357,0.241,0.967
18,1,0.999,0.024,0.001,0.001,0.001,0.038,0.042,0.009,0.0,0.0
18,2,0.039,0.998,0.144,0.031,0.306,0.179,0.082,0.118,0.008,0.0
18,3,0.007,0.13,0.999,0.0,0.0,0.0,0.0,0.001,0.077,0.18
18,4,0.14,0.122,0.0,0.999,0.0,0.0,0.0,0.0,0.277,0.105
18,5,0.023,0.162,0.0,0.0,0.994,0.0,0.0,0.0,0.241,0.27
18,6,0.02,0.102,0.0,0.0,0.0,0.998,0.0,0.0,0.153,0.301
18,7,0.166,0.156,0.0,0.0,0.0,0.0,0.999,0.023,0.311,0.15
18,8,0.081,0.148,0.0,0.0,0.0,0.0,0.003,1.0,0.256,0.148
18,9,0.0,0.0,0.059,0.054,0.301,0.059,0.182,0.142,0.997,0.0
18,10,0.346,0.011,0.187,0.145,0.348,0.145,0.446,0.248,0.264,0.981
18,Aggregated,0.347,0.011,0.19,0.145,0.344,0.152,0.444,0.259,0.263,0.98
19,1,0.998,0.006,0.002,0.018,0.078,0.046,0.162,0.014,0.0,0.0
19,2,0.052,0.998,0.185,0.067,0.178,0.137,0.202,0.16,0.009,0.0
19,3,0.0,0.2,0.999,0.0,0.0,0.0,0.0,0.003,0.089,0.105
19,4,0.16,0.072,0.0,0.999,0.0,0.0,0.0,0.0,0.213,0.215
19,5,0.011,0.052,0.0,0.0,0.998,0.0,0.0,0.0,0.272,0.052
19,6,0.26,0.239,0.0,0.0,0.0,0.999,0.0,0.001,0.116,0.355
19,7,0.459,0.32,0.0,0.0,0.0,0.0,0.996,0.12,0.263,0.268
19,8,0.125,0.108,0.006,0.0,0.001,0.0,0.003,0.998,0.395,0.02
19,9,0.0,0.002,0.085,0.135,0.308,0.072,0.18,0.222,0.994,0.003
19,10,0.284,0.023,0.218,0.157,0.24,0.199,0.442,0.352,0.177,0.987
19,Aggregated,0.282,0.022,0.216,0.156,0.251,0.195,0.444,0.347,0.179,0.985
20,1,0.994,0.01,0.034,0.046,0.009,0.082,0.3,0.04,0.0,0.005
20,2,0.089,0.995,0.243,0.067,0.092,0.114,0.11,0.198,0.014,0.0
20,3,0.028,0.168,0.999,0.0,0.0,0.0,0.0,0.002,0.091,0.143
20,4,0.274,0.09,0.0,0.999,0.0,0.0,0.0,0.0,0.154,0.201
20,5,0.006,0.176,0.0,0.0,0.998,0.0,0.0,0.0,0.223,0.132
20,6,0.272,0.056,0.0,0.0,0.0,0.997,0.0,0.0,0.344,0.114
20,7,0.238,0.168,0.0,0.0,0.0,0.0,0.998,0.039,0.374,0.374
20,8,0.025,0.105,0.005,0.0,0.0,0.0,0.002,1.0,0.263,0.033
20,9,0.0,0.002,0.051,0.064,0.19,0.177,0.36,0.188,0.995,0.009
20,10,0.209,0.017,0.244,0.1,0.363,0.188,0.172,0.188,0.281,0.988
20,Aggregated,0.213,0.017,0.247,0.103,0.365,0.189,0.175,0.193,0.284,0.988
21,1,0.998,0.011,0.005,0.013,0.108,0.037,0.116,0.027,0.0,0.003
21,2,0.035,0.994,0.198,0.022,0.315,0.029,0.241,0.179,0.021,0.0
21,3,0.009,0.192,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.075
21,4,0.172,0.188,0.0,0.999,0.0,0.0,0.0,0.0,0.281,0.197
21,5,0.019,0.207,0.0,0.0,0.996,0.0,0.0,0.0,0.299,0.123
21,6,0.356,0.182,0.0,0.0,0.0,0.997,0.0,0.0,0.215,0.276
21,7,0.376,0.274,0.0,0.0,0.0,0.0,0.994,0.054,0.567,0.224
21,8,0.08,0.065,0.003,0.0,0.0,0.0,0.002,1.0,0.422,0.03
21,9,0.0,0.004,0.101,0.053,0.297,0.168,0.199,0.147,0.994,0.003
21,10,0.192,0.002,0.203,0.109,0.279,0.212,0.261,0.152,0.135,0.998
21,Aggregated,0.197,0.002,0.204,0.113,0.28,0.211,0.266,0.152,0.135,0.998
22,1,1.0,0.023,0.043,0.022,0.047,0.077,0.092,0.015,0.001,0.002
22,2,0.018,0.993,0.19,0.114,0.307,0.104,0.128,0.205,0.011,0.0
22,3,0.001,0.066,1.0,0.0,0.0,0.0,0.0,0.0,0.105,0.023
22,4,0.128,0.264,0.0,0.997,0.0,0.0,0.0,0.003,0.262,0.219
22,5,0.005,0.131,0.0,0.0,0.999,0.0,0.0,0.0,0.117,0.185
22,6,0.343,0.137,0.0,0.0,0.0,0.998,0.0,0.0,0.138,0.131
22,7,0.181,0.241,0.0,0.0,0.0,0.0,0.998,0.032,0.478,0.284
22,8,0.156,0.112,0.002,0.0,0.0,0.0,0.007,0.998,0.35,0.026
22,9,0.0,0.005,0.136,0.148,0.136,0.051,0.291,0.265,0.993,0.003
22,10,0.352,0.064,0.279,0.146,0.245,0.172,0.406,0.167,0.338,0.975
22,Aggregated,0.35,0.066,0.292,0.154,0.246,0.173,0.397,0.178,0.338,0.974
23,1,0.998,0.014,0.013,0.042,0.013,0.133,0.151,0.015,0.001,0.001
23,2,0.011,0.997,0.197,0.053,0.201,0.072,0.148,0.163,0.009,0.0
23,3,0.002,0.092,0.998,0.0,0.0,0.0,0.0,0.0,0.177,0.102
23,4,0.201,0.103,0.0,0.999,0.0,0.0,0.0,0.0,0.286,0.152
23,5,0.051,0.364,0.0,0.0,0.99,0.0,0.0,0.001,0.44,0.087
23,6,0.365,0.133,0.0,0.0,0.0,0.998,0.0,0.0,0.159,0.183
23,7,0.31,0.251,0.0,0.0,0.0,0.0,0.998,0.127,0.474,0.102
23,8,0.103,0.198,0.001,0.0,0.0,0.0,0.005,0.998,0.39,0.009
23,9,0.0,0.022,0.041,0.092,0.174,0.189,0.196,0.278,0.998,0.013
23,10,0.341,0.046,0.251,0.076,0.326,0.19,0.24,0.207,0.227,0.986
23,Aggregated,0.337,0.046,0.253,0.077,0.332,0.191,0.249,0.204,0.228,0.987
24,1,0.998,0.009,0.007,0.002,0.0,0.069,0.285,0.017,0.001,0.002
24,2,0.021,0.996,0.17,0.091,0.335,0.074,0.117,0.148,0.013,0.0
24,3,0.0,0.124,1.0,0.0,0.0,0.0,0.0,0.0,0.121,0.06
24,4,0.098,0.149,0.0,0.999,0.0,0.0,0.0,0.0,0.214,0.192
24,5,0.028,0.118,0.0,0.0,0.997,0.0,0.0,0.0,0.222,0.235
24,6,0.257,0.066,0.0,0.0,0.0,0.998,0.0,0.002,0.303,0.164
24,7,0.241,0.323,0.0,0.0,0.0,0.0,0.998,0.068,0.443,0.312
24,8,0.095,0.096,0.003,0.0,0.009,0.0,0.009,1.0,0.253,0.042
24,9,0.0,0.002,0.194,0.083,0.166,0.132,0.208,0.125,0.996,0.003
24,10,0.26,0.039,0.263,0.208,0.282,0.242,0.227,0.19,0.285,0.984
24,Aggregated,0.262,0.04,0.262,0.207,0.281,0.242,0.229,0.193,0.283,0.985
25,1,0.999,0.008,0.011,0.033,0.075,0.074,0.105,0.017,0.001,0.001
25,2,0.036,0.994,0.137,0.094,0.264,0.199,0.206,0.213,0.01,0.0
25,3,0.002,0.098,1.0,0.0,0.0,0.0,0.0,0.001,0.209,0.177
25,4,0.1,0.183,0.0,0.998,0.0,0.0,0.0,0.0,0.312,0.226
25,5,0.025,0.248,0.0,0.0,0.994,0.0,0.0,0.0,0.318,0.301
25,6,0.36,0.134,0.0,0.0,0.0,0.997,0.0,0.001,0.21,0.326
25,7,0.42,0.207,0.0,0.0,0.0,0.0,0.997,0.09,0.338,0.134
25,8,0.13,0.108,0.005,0.0,0.006,0.0,0.005,1.0,0.358,0.038
25,9,0.0,0.022,0.147,0.118,0.215,0.14,0.251,0.256,0.993,0.015
25,10,0.283,0.061,0.22,0.104,0.428,0.192,0.342,0.215,0.311,0.98
25,Aggregated,0.282,0.063,0.225,0.105,0.424,0.191,0.347,0.216,0.309,0.979
26,1,0.998,0.014,0.01,0.001,0.055,0.138,0.077,0.016,0.001,0.005
26,2,0.025,0.999,0.301,0.022,0.074,0.113,0.095,0.147,0.017,0.0
26,3,0.021,0.308,0.998,0.0,0.0,0.0,0.0,0.001,0.176,0.158
26,4,0.232,0.188,0.0,1.0,0.0,0.0,0.0,0.003,0.308,0.127
26,5,0.01,0.115,0.0,0.0,0.998,0.0,0.0,0.0,0.217,0.214
26,6,0.176,0.147,0.0,0.0,0.0,0.997,0.0,0.004,0.309,0.325
26,7,0.304,0.308,0.0,0.0,0.0,0.0,0.998,0.063,0.384,0.151
26,8,0.062,0.198,0.003,0.0,0.01,0.0,0.02,0.997,0.317,0.189
26,9,0.0,0.007,0.199,0.143,0.183,0.194,0.284,0.239,0.991,0.007
26,10,0.207,0.043,0.207,0.221,0.289,0.29,0.249,0.231,0.269,0.988
26,Aggregated,0.22,0.045,0.216,0.213,0.301,0.29,0.259,0.227,0.268,0.986
27,1,0.999,0.032,0.008,0.009,0.084,0.102,0.15,0.026,0.002,0.007
27,2,0.053,0.995,0.121,0.091,0.344,0.17,0.097,0.164,0.028,0.002
27,3,0.014,0.121,0.997,0.0,0.0,0.0,0.0,0.0,0.205,0.11
27,4,0.238,0.15,0.001,0.997,0.0,0.0,0.0,0.0,0.35,0.134
27,5,0.002,0.071,0.0,0.001,0.998,0.0,0.0,0.0,0.156,0.197
27,6,0.196,0.087,0.0,0.0,0.0,0.999,0.0,0.002,0.255,0.087
27,7,0.306,0.211,0.0,0.0,0.0,0.0,0.998,0.084,0.44,0.322
27,8,0.054,0.249,0.002,0.0,0.001,0.0,0.015,0.997,0.341,0.123
27,9,0.0,0.011,0.067,0.102,0.366,0.085,0.209,0.256,0.992,0.013
27,10,0.279,0.077,0.3,0.116,0.233,0.141,0.467,0.275,0.158,0.987
27,Aggregated,0.28,0.078,0.296,0.124,0.247,0.143,0.47,0.273,0.163,0.987
28,1,0.999,0.028,0.022,0.035,0.023,0.084,0.104,0.018,0.001,0.005
28,2,0.062,0.996,0.196,0.047,0.199,0.151,0.108,0.136,0.029,0.0
28,3,0.031,0.236,0.999,0.0,0.0,0.0,0.0,0.002,0.217,0.139
28,4,0.198,0.126,0.001,0.998,0.0,0.0,0.0,0.004,0.323,0.162
28,5,0.009,0.042,0.0,0.0,0.999,0.0,0.0,0.0,0.163,0.198
28,6,0.23,0.242,0.0,0.0,0.0,0.998,0.0,0.003,0.203,0.198
28,7,0.375,0.146,0.0,0.0,0.0,0.0,0.999,0.08,0.421,0.376
28,8,0.091,0.279,0.001,0.0,0.001,0.0,0.027,0.999,0.315,0.103
28,9,0.0,0.004,0.14,0.008,0.276,0.152,0.419,0.149,0.994,0.001
28,10,0.288,0.021,0.133,0.153,0.341,0.23,0.354,0.209,0.253,0.992
28,Aggregated,0.289,0.021,0.145,0.152,0.339,0.221,0.363,0.212,0.252,0.991
29,1,0.996,0.024,0.03,0.001,0.051,0.093,0.327,0.033,0.001,0.008
29,2,0.05,0.997,0.236,0.017,0.204,0.12,0.148,0.127,0.011,0.001
29,3,0.002,0.137,0.999,0.0,0.0,0.0,0.0,0.003,0.131,0.139
